"FRST_LETTER"	"vulcan"	"domain"	"klingon"
"530"	"w"	"Wedzhal"	"nosh-zhit"	" chIch"
"531"	"w"	"Wek-zehlek "	NA	" pu'"
"532"	"w"	"Wek-zehlek-kutralar "	NA	" pu'DaH"
"533"	"w"	"Wilat "	NA	" nuqDaq"
"534"	"w"	"Wivelau "	NA	" chergh"
"535"	"w"	"Worla "	NA	" not"
"536"	"w"	"Wuh|kuh| "	NA	" wa'"
"537"	"w"	"Wuh'wak "	NA	" wa'logh"
"538"	"w"	"Wun "	NA	" nuH"
"539"	"y"	"Yal'mek-tor "	NA	" Sorgh"
"540"	"y"	"Yeht-tor "	NA	" lugh"
"541"	"y"	"Yel "	NA	" Hov"
"542"	"y"	"Yel-hali "	NA	" 'ejDo'"
"543"	"y"	"Yel-Halitra "	NA	" 'ejyo'"
"544"	"y"	"Yel-suk'torektra "	NA	" Hovtay'"
"545"	"y"	"Yel-sunena "	NA	" 'ejyo'waw'"
"546"	"y"	"Yen-tor "	NA	" lIj"
"547"	"y"	"Yeyikau "	NA	" lob"
"548"	"y"	"Yokul-mahr-kel "	NA	" Qe'"
"549"	"y"	"Yontau "	NA	" meQ"
"550"	"y"	"Yuk-sai-vel "	NA	" nIvnav"
"551"	"y"	"Yuk-tor "	NA	" Qong"
"552"	"z"	"Zadau "	NA	" bot"
"553"	"z"	"Zama-tanaf "	NA	" lInDab"
"554"	"z"	"Zama-tor "	NA	" ghoq"
"555"	"z"	"Zamasu "	NA	" ghoqwI'"
"556"	"z"	"Zanesh-tor "	NA	" chIp"
"557"	"z"	"Zarikubitau "	NA	" nIS"
"558"	"z"	"Zaterek "	NA	" mojaQ, mojaq"
"559"	"z"	"Zehl-yel "	NA	" lIy"
"560"	"z"	"Zeshau "	NA	" chop"
"561"	"z"	"Zhit "	NA	" mu'"
"562"	"z"	"Zhit-bal "	NA	" mu'tlhegh"
"563"	"z"	"Zhit-feim "	NA	" mu'tay'"
"564"	"z"	"Zhit-dunap "	NA	" mu'ghom"
"565"	"z"	"Zhit-puk-tor "	NA	" ghoH"
"566"	"z"	"Zhuk-om "	NA	" laSvargh"
"567"	"z"	"Zud "	NA	" Ho'"
"568"	"z"	"Zud-sut "	NA	" Ho''oy'"
