"FRST_LETTER"	"fse"	"domain"	"vulcan"
"2820"	"c"	"Caudal fin"	NA	"harr-ralek"
"2821"	"c"	"Caudate"	NA	"harr-ma-, harr-mayik"
"2822"	"c"	"Caul"	NA	"limuk-nalatra"
"2823"	"c"	"Cauldron"	NA	"fas-matuhlek"
"2824"	"c"	"Caulescent"	NA	"kas-fek-mayik"
"2825"	"c"	"Caulk"	NA	"mafen|-tukh|(n.), mafen-tor(v.)"
"2826"	"c"	"Caulking"	"n."	"mafen|-tukh|, mafentra"
"2827"	"c"	"Cause"	NA	"aishan(n.), aisha(v.)"
"2828"	"c"	"Causeway"	NA	"ashen-fau-yut"
"2829"	"c"	"Caustic"	"n."	"yontau-meil|-tukh|"
"2830"	"c"	"Cauterize"	NA	"yontafen-tor"
"2831"	"c"	"Cautery"	NA	"yontafenan"
"2832"	"c"	"Caution"	NA	"yuzhat(n.), yuzh-tor(v.)"
"2833"	"c"	"Cautious"	NA	"yuzh-bosh|-|"
"2834"	"c"	"Cavalry"	"n."	"hors-puktra(Terran); kenel-puktra(Vulcan)"
"2835"	"c"	"Cavalry charge"	NA	"hors-puktra- Cavalry horse -- puktra-hors"
"2836"	"c"	"Cavalry officer"	NA	"hors-puktra-lansu"
"2837"	"c"	"Cavalry soldier/trooper"	NA	"hors-puktra-ask'ersu"
"2838"	"c"	"Cavalryman"	NA	"hors-puksu(Terran); kenel-puksu(Vulcan)"
"2839"	"c"	"Cave"	"n."	"tauk"
"2840"	"c"	"Cave bear "	"Ursus spelaeus"	"tauk-ber"
"2841"	"c"	"Cave in"	NA	"netaukovau"
"2842"	"c"	"Cave-in"	NA	"netaukovaya"
"2843"	"c"	"Cave lion"	NA	"tauk-lei'o"
"2844"	"c"	"Caveman"	NA	"tauksu"
"2845"	"c"	"Cavern"	NA	"suk'tauk"
"2846"	"c"	"Cavitate"	NA	"rihmishau"
"2847"	"c"	"Cavitation"	NA	"rihmishaya"
"2848"	"c"	"Cavity"	NA	"pi'tauk(body); zud-razh(tooth)"
"2849"	"c"	"Cay"	NA	"nuk-vikuvtra"
"2850"	"c"	"Cease"	NA	"shahtau, pehkau"
"2851"	"c"	"Ceiling"	NA	"abru-tol(in a structure); wan-tin-lanet(meteor.)"
"2852"	"c"	"Celebrate"	NA	"pudorilau"
"2853"	"c"	"Celebration"	NA	"pudorilaya"
"2854"	"c"	"Celestial"	"adj."	"ostukh-, ostukhik"
"2855"	"c"	"Cell"	NA	"nala(biol.); meskal (jail/prison)"
"2856"	"c"	"Cell culture"	NA	"nala-litra"
"2857"	"c"	"Cell cycle"	NA	"nala-da-nel"
"2858"	"c"	"Cell differentiation"	NA	"nala-natyantek"
"2859"	"c"	"Cell division"	NA	"nala-dahshaya"
"2860"	"c"	"Cell fusion"	NA	"nala-kaunshaya"
"2861"	"c"	"Cell growth"	NA	"nala-to'ovaya"
"2862"	"c"	"Cell membrane"	NA	"nala-wein"
"2863"	"c"	"Cell wall"	NA	"nala-temok"
"2864"	"c"	"Cellar"	NA	"netsoraya"
"2865"	"c"	"Cellular"	"biol., med., zool."	"nala-, nalatik"
"2866"	"c"	"Cellular "	"tele"	"el'kal-irak-varibek"
"2867"	"c"	"Cellulitis"	NA	"nalatra-yonshaya"
"2868"	"c"	"Cellulose"	NA	"nen-kas-tukh"
"2869"	"c"	"Cement"	"n."	"kluterek"
"2870"	"c"	"Cement factory"	NA	"kluterek-zhuk-om"
"2871"	"c"	"Cemetery"	NA	"vukhut-ker"
"2872"	"c"	"Cenozoic Era"	NA	"Tuwak-Hatik Nuhs |t'Terra|"
"2873"	"c"	"Censer"	NA	"safnishek"
"2874"	"c"	"Center"	NA	"svitan(n.); svitan-tor(v.)"
"2875"	"c"	"Center of action"	NA	"torai-svitan"
"2876"	"c"	"Center of buoyancy"	NA	"abmarkan'es-svitan"
"2877"	"c"	"Center of gravity"	NA	"nu-seshan-svitan"
"2878"	"c"	"Center of mass"	NA	"shivak-svitan"
"2879"	"c"	"Center of pressure"	NA	"vihish-svitan"
"2880"	"c"	"Center of symmetry"	NA	"talikal-svitan"
"2881"	"c"	"Centering ring"	NA	"svitanan-mokuv"
"2882"	"c"	"The Centers for Disease Control and Prevention "	"CDC"	"Svitanlar na'Has-Tash heh Etlavaya"
"2883"	"c"	"Central"	"adj."	"svitan-, svitanik"
"2884"	"c"	"Central America"	NA	"Svitan-Uhmerikuh"
"2885"	"c"	"Central American"	NA	"svitan-uhmerikan-, svitan-uhmerikanik(adj.); svitan-uhmerikasu(person)"
"2886"	"c"	"Central force"	NA	"svitan-nekwitaya"
"2887"	"c"	"Central Intelligence Agency "	"CIA"	"Svitan-Ask'ro'fori-Svisolaizhak"
"2888"	"c"	"Central nervous system"	NA	"nen-wel-torektra"
"2889"	"c"	"Central processing unit "	"CPU"	"svitan-patorau-kebi |t'tum-vel| (SPK)"
"2890"	"c"	"Centrifugal brake"	NA	"sadan-vohrayek"
"2891"	"c"	"Centrifugal casting"	NA	"sadan-vishizhaun"
"2892"	"c"	"Centrifugal clutch"	NA	"sadan-runemek"
"2893"	"c"	"Centrifugal fan"	NA	"sadan-sovek"
"2894"	"c"	"Centrifugal force"	NA	"sadan-nekwitaya"
"2895"	"c"	"Centrifugal pump"	NA	"sadan-spol"
"2896"	"c"	"Centrifuge"	"n."	"|sadan-|dahshayek"
"2897"	"c"	"Centripetal force"	NA	"vidan-nekwitaya"
"2898"	"c"	"Centrism"	NA	"svitan-dva"
"2899"	"c"	"Centrist"	NA	"svitan-dvasu"
"2900"	"c"	"Centromere"	NA	"toltra-tersau-vel"
"2901"	"c"	"Century"	NA	"tehtvun"
"2902"	"c"	"Cephalgia"	NA	"patam-kusut"
"2903"	"c"	"Cephalopod"	NA	"patam-ash'ya"
"2904"	"c"	"Ceramic"	"adj."	"kriz-, krizik"
"2905"	"c"	"Cerebellum"	NA	"dvunek-tash-svitan"
"2906"	"c"	"Cerebral abscess"	NA	"shad-pi'tak"
"2907"	"c"	"Cerebral blood flow"	NA	"shad-khaf-yumaya"
"2908"	"c"	"Cerebral cortex"	NA	"si-tin t'nahp-tash-svitan"
"2909"	"c"	"Cerebral hemorrhage"	NA	"shad-khafaya"
"2910"	"c"	"Cerebral tumor"	NA	"shad-gnal"
"2911"	"c"	"Cerebrum"	NA	"nahp-tash-svitan"
"2912"	"c"	"Ceremonial"	"adj."	"vanu-, vanuk"
"2913"	"c"	"Ceremony"	NA	"van-kal(anc.)"
"2914"	"c"	"Cerium"	NA	"pran-tukh"
"2915"	"c"	"Certificate"	NA	"to-kisev"
"2916"	"c"	"Certification"	NA	"to-kisevyan"
"2917"	"c"	"Certification flight"	NA	"to-kisevyan-hash"
"2918"	"c"	"Certification inspection"	NA	"to-kisevyan-linikaya"
"2919"	"c"	"Cerulean, Ceruleous"	"color"	"igen-kur"
"2920"	"c"	"Cerussite"	NA	"sovnol-reh-eshu t'ras-tukh"
"2921"	"c"	"Cervical"	NA	"talu-, taluyik"
"2922"	"c"	"Cervical cancer"	NA	"sudef-talu-rasahtra"
"2923"	"c"	"Cervical vertebra"	NA	"talu-hinek"
"2924"	"c"	"Cervix"	NA	"sudef-talu"
"2925"	"c"	"Cesium, Caesium"	NA	"zhaimasu-tukh"
"2926"	"c"	"Cessation"	NA	"shahtaya, pehkaya"
"2927"	"c"	"Cesspool"	NA	"guhsh-masu-muzh"
"2928"	"c"	"Cetacean"	"n."	"setuhssu"
"2929"	"c"	"Chaetophobia"	NA	"isachya-pthak"
"2930"	"c"	"Chafe"	"v."	"yazhutau"
"2931"	"c"	"Chain"	"made of links"	"naf-elakh(TGV), naflakh(MGV)"
"2932"	"c"	"Chain"	"series"	"weizehl"
"2933"	"c"	"Chain block"	NA	"naflakh-aberau-vihpan"
"2934"	"c"	"Chain conveyor"	NA	"naflakh-zheleshek"
"2935"	"c"	"Chain locker"	NA	"tvi-shal t'naf-elakh(TGV), naflakh-tvihal(MGV)"
"2936"	"c"	"Chain mail"	NA	"naf-elakh-ain(TGV), naflakh-ain(MGV)"
"2937"	"c"	"Chain of command"	NA	"su-zehl t'khartaya"
"2938"	"c"	"Chain pump"	NA	"naf-elakh-spol(TGV), naflakh-spol(MGV)"
"2939"	"c"	"Chain reaction"	NA	"weizehl-folaya"
"2940"	"c"	"Chain wheel"	NA	"naf-elakh-halek(TGV), naflakh-halek(MGV)"
"2941"	"c"	"Chainsaw"	NA	"naf-elakh-neshek(TGV), naflakh-neshek(MGV)"
"2942"	"c"	"Chair"	"n."	"ku-san(anc.)"
"2943"	"c"	"Chairman"	NA	"sa-ku-sansu"
"2944"	"c"	"Chairwoman"	NA	"ko-ku-sansu"
"2945"	"c"	"Chalcedony"	NA	"zhai-pla-kohv"
"2946"	"c"	"Chalcocite"	NA	"vlau'u t'dah-khaf-tukh"
"2947"	"c"	"Chalk"	"n."	"gav"
"2948"	"c"	"Chalk line"	NA	"gav-zehl"
"2949"	"c"	"Challenge"	NA	"kali-fi(n., anc.), kali-tor(v.)"
"2950"	"c"	"Chalybeate"	NA	"pishek-kahk"
"2951"	"c"	"Chalybeous"	NA	"pishek-pla-kur"
"2952"	"c"	"Chamber"	"n."	"tvi-shal(TGV), tvihal(MGV)"
"2953"	"c"	"Chamber orchestra"	NA	"pi-pilakh-mavaultra"
"2954"	"c"	"Chamber pressure"	NA	"tvi-shal-vihish(TGV), tvihal-vihish(MGV)"
"2955"	"c"	"Chamberlain"	NA	"te'kelek-palutunausu"
"2956"	"c"	"Champion"	"n."	"skilamu(anc.)"
"2957"	"c"	"Championship"	NA	"skilamunak"
"2958"	"c"	"Chance"	"n."	"trebek"
"2959"	"c"	"Chancellor"	"government"	"spana-ornasu"
"2960"	"c"	"Chandelier"	NA	"geld-wehk-ha'feklam"
"2961"	"c"	"Change"	NA	"rubah(n.), rubai(v.)"
"2962"	"c"	"Changed, to be"	NA	"purubai"
"2963"	"c"	"Changeling"	NA	"purubal-veh"
"2964"	"c"	"Channel"	"n."	"glantokau-yut, sasau-yut(telecomm.); faik-yut(computer); mashyut(liquid or gas)"
"2965"	"c"	"Channel"	"v."	"yut-tor"
"2966"	"c"	"Chant"	NA	"konuralaya(n.), konuralau(v.)"
"2967"	"c"	"Chaos"	NA	"nezhak"
"2968"	"c"	"Chaos Theory"	NA	"Nezhak-Wihka"
"2969"	"c"	"Chaparral"	NA	"pseth-kapselabshi-shal"
"2970"	"c"	"Chapel"	NA	"pi'shi'kon"
"2971"	"c"	"Chaplain"	"military"	"|aski-|dva-fulagsu"
"2972"	"c"	"Chapter"	"book"	"dunap-krus, var-krus"
"2973"	"c"	"Char"	"v."	"yonol-tor"
"2974"	"c"	"Character"	"n."	"elifsu(person); horon(inner makeup); nuhm(symbol, letter, etc.)"
"2975"	"c"	"Characteristic"	"n."	"noshtra"
"2976"	"c"	"Characteristic length"	NA	"noshtra-wu-vath"
"2977"	"c"	"Characteristic velocity"	NA	"noshtra-threshan"
"2978"	"c"	"Charcoal"	"n."	"yonol-tukh"
"2979"	"c"	"Charge"	NA	"falun(n., elect.); thorshlun(n., explosive); vifalunau(v., elect.), fasahr-tor(v., rush forward)"
"2980"	"c"	"Charge coupled device "	"CCD"	"falun-tersal-el'mish"
"2981"	"c"	"Charger"	NA	"vifalunek(device); fasahrfa(horse)"
"2982"	"c"	"Charging circuit"	NA	"vifalun-raf-kuv"
"2983"	"c"	"Charging current"	NA	"vifalun-katrom"
"2984"	"c"	"Charging voltage"	NA	"vifalun-toruk'es"
"2985"	"c"	"Chariot"	NA	"hors-dah-hal(non-military), faukh-dah-hal(military)"
"2986"	"c"	"Charity"	NA	"rodan'es"
"2987"	"c"	"Charm"	"magic"	"kobohrau-vel(n.), kobohrau(v.)"
"2988"	"c"	"Chart"	NA	"besan(n.); besau(v.)"
"2989"	"c"	"Charter"	"n., grant"	"palikap"
"2990"	"c"	"Charter"	"v., reserve for use"	"isvamekitau"
"2991"	"c"	"Chartreuse"	"color"	"tehk-kur"
"2992"	"c"	"Charwoman"	NA	"ko-pusu"
"2993"	"c"	"Chase"	NA	"zasahr(n.), zasahr-tor(v.)"
"2994"	"c"	"Chase plane"	NA	"zasahr-sov-hashek"
"2995"	"c"	"Chaser"	NA	"zasahrsu(sentient), zasahrfa(non-sentient)"
"2996"	"c"	"Chasm"	NA	"soltrethel"
"2997"	"c"	"Chat"	NA	"pavaribet(n.); pavariben(v.)"
"2998"	"c"	"Chauffeur"	NA	"vlitau-yetursu"
"2999"	"c"	"Cheat"	"v."	"kravau"
"3000"	"c"	"Check"	"test out"	"rihamaya(n.), rihamau(v.)"
"3001"	"c"	"Check digit"	NA	"rihamau-un"
"3002"	"c"	"Check valve"	NA	"pla-yumau-spunek"
"3003"	"c"	"Checkers"	NA	"tchekuhrlar"
"3004"	"c"	"Checklist"	NA	"rihamau-feim"
"3005"	"c"	"Cheek"	NA	"nak"
"3006"	"c"	"Cheer up"	"v."	"na'elatsau"
"3007"	"c"	"Cheerleader"	NA	"rarasu"
"3008"	"c"	"Cheese"	NA	"thuhk"
"3009"	"c"	"Cheese cutter"	NA	"thuhk-neshek"
"3010"	"c"	"Cheese grater"	NA	"thuhk-grafleitayek"
"3011"	"c"	"Cheese knife"	NA	"thuhk-lipau"
"3012"	"c"	"Cheesecake"	NA	"thuhk-keik"
"3013"	"c"	"Chef"	NA	"opilsu"
"3014"	"c"	"Cheilitis"	NA	"bru-yonshaya"
"3015"	"c"	"Chemical"	NA	"meil-, meilik(adj.); meil-tukh(n.)"
"3016"	"c"	"Chemical analysis"	NA	"meil-nisaya"
"3017"	"c"	"Chemical balance"	NA	"meil-vo'ektaya"
"3018"	"c"	"Chemical bond"	NA	"meil-tel"
"3019"	"c"	"Chemical compound"	NA	"meilaktra"
"3020"	"c"	"Chemical energy"	NA	"meil-tepul"
"3021"	"c"	"Chemical equation"	NA	"meil-vo'ihn"
"3022"	"c"	"Chemical grout"	NA	"meil-gluhbosh-tukh"
"3023"	"c"	"Chemical plant"	NA	"meil-tukh-kebitra"
"3024"	"c"	"Chemical reaction"	NA	"meil-folaya"
"3025"	"c"	"Chemical rocket"	NA	"meil-yon-hashek"
"3026"	"c"	"Chemical spill"	NA	"meil-huplamaya"
"3027"	"c"	"Chemical warfare"	NA	"meil-ahkhan"
"3028"	"c"	"Chemiluminescence"	NA	"meil-dakh-ha'tanaya"
"3029"	"c"	"Chemistry"	"study"	"meil-tal"
"3030"	"c"	"Chemistry set"	NA	"meil-lesk"
"3031"	"c"	"Chemosynthesis"	NA	"meil-fereikan"
"3032"	"c"	"Chemotherapy"	NA	"meil-has-gun"
"3033"	"c"	"Chernozem"	NA	"nesh-solek"
"3034"	"c"	"Chert"	NA	"kohv-mazhiv-kov"
"3035"	"c"	"Chess"	NA	"tches(VTW)"
"3036"	"c"	"Chess master"	NA	"tches-trensu"
"3037"	"c"	"Chess match"	NA	"tches-zhagra"
"3038"	"c"	"Chessboard"	NA	"tches-dohn, mav-dohn"
"3039"	"c"	"Chess piece, Chessman"	NA	"tches-mavau-krus"
"3040"	"c"	"Chest"	NA	"tuf(anat.); tsor-mesk(box)"
"3041"	"c"	"Chew"	"v."	"nal-tor"
"3042"	"c"	"Chick"	NA	"tchihk(VTW)|tchihkihn-kan|"
"3043"	"c"	"Chicken"	NA	"tchihkihn(VTW)"
"3044"	"c"	"Chief"	"tribal leader"	"emumaat-fulagsu"
"3045"	"c"	"Chief of staff"	NA	"suyu-feihan"
"3046"	"c"	"Chief petty officer"	NA	"feihan"
"3047"	"c"	"Chieftain"	NA	"te'feisu"
"3048"	"c"	"Chilblain"	NA	"samek-yontaya"
"3049"	"c"	"Child"	NA	"kan"
"3050"	"c"	"Child abuse"	NA	"kan-tamadaya"
"3051"	"c"	"Childbirth"	NA	"kan-keshtan"
"3052"	"c"	"Childhood"	"n."	"kan-kwel"
"3053"	"c"	"Childproof"	"adj."	"kan-teht"
"3054"	"c"	"Children"	NA	"kanu(TGV), kanlar(MGV)"
"3055"	"c"	"Chili"	"dish"	"tchihli(VTW)"
"3056"	"c"	"Chill"	"v."	"samu'ah"
"3057"	"c"	"Chiller"	"device"	"samuyek"
"3058"	"c"	"Chilly"	NA	"samuyik"
"3059"	"c"	"Chime"	"n."	"kusek"
"3060"	"c"	"Chimera, Chimaera"	NA	"kaimeruh |rish-stislak|"
"3061"	"c"	"Chimney"	NA	"vuzh-mev"
"3062"	"c"	"Chimney sweep"	NA	"vuzh-mev-fnashtausu"
"3063"	"c"	"Chin"	NA	"huhzi"
"3064"	"c"	"China"	"porcelain"	"marom-vrel-greink"
"3065"	"c"	"Chinese"	"adj."	"tchainuh-, tchainuhik"
"3066"	"c"	"Chine"	NA	"vukh-rihk"
"3067"	"c"	"Chinook"	"wind"	"lamekh-suk'kunel-salan"
"3068"	"c"	"Chip"	"n."	"val"
"3069"	"c"	"Chiralgia"	NA	"el'ru-kusut"
"3070"	"c"	"Chiraptophobia"	NA	"esta-pthak"
"3071"	"c"	"Chisel"	NA	"kwu'teshayek(n.); kwu'treshau(v.)"
"3072"	"c"	"Chitin"	NA	"yol"
"3073"	"c"	"Chivalry"	NA	"oik'es"
"3074"	"c"	"Chloride"	NA	"lafu"
"3075"	"c"	"Chlorinate"	NA	"lafitau"
"3076"	"c"	"Chlorination"	NA	"lafitaya"
"3077"	"c"	"Chlorinator"	NA	"lafitayek"
"3078"	"c"	"Chlorine"	NA	"laf-tukh"
"3079"	"c"	"Chlorinity"	NA	"lafu'es"
"3080"	"c"	"Chlorophyll"	NA	"kas-yar-kurek"
"3081"	"c"	"Chloroplast"	NA	"kas-yar-nala"
"3082"	"c"	"Chocks"	NA	"halek-vihpanlar"
"3083"	"c"	"Chocolate"	"n."	"tchakluht, tchako'luht, tchakuh'luht"
"3084"	"c"	"Choice"	NA	"dvel"
"3085"	"c"	"Choir"	NA	"spes-feretaya"
"3086"	"c"	"Choke"	"n., mech."	"khluhkayek"
"3087"	"c"	"Choke"	"v."	"khluhkau"
"3088"	"c"	"Choker"	"necklace"	"wuf-talu-ek'zeru"
"3089"	"c"	"Chondroma"	NA	"rihinek-gnal"
"3090"	"c"	"Chondromalacia"	NA	"rihinek-mosaya"
"3091"	"c"	"Chondrosarcoma"	NA	"rihinek-rasahtra"
"3092"	"c"	"Choose"	NA	"dvel-tor"
"3093"	"c"	"Chosen, to be"	NA	"pudvel-tor"
"3094"	"c"	"Chop"	NA	"nasshaya(n.), nasshau(v.); nasshahm(n., meat)"
"3095"	"c"	"Chopsticks"	NA	"yokul-pi'feklar"
"3096"	"c"	"Choreographer"	NA	"tam-dvun-patanafausu"
"3097"	"c"	"Choreography"	NA	"tam-dvun-patanafaya"
"3098"	"c"	"Chorus"	"n."	"raravamet"
"3099"	"c"	"Christen"	"v."	"kristau(Terran); ahm-tor(Vulcan)"
"3100"	"c"	"Christian"	NA	"kristyan-, kristyanik(adj.); krist-dvasu(n.)"
"3101"	"c"	"Christianity"	NA	"Krist-Dva"
"3102"	"c"	"Christmas"	NA	"Krihst'muhs"
"3103"	"c"	"Christmas card"	NA	"Krihst'muhs-nop"
"3104"	"c"	"Christmas carol"	NA	"Krihst'muhs-muf-rarav"
"3105"	"c"	"Christmas Day"	NA	"Krihst'muhs-Gad"
"3106"	"c"	"Christmas decorations"	NA	"Krihst'muhs-tremuhrayalar"
"3107"	"c"	"Christmas dinner"	NA	"Krihst'muhs-aru-yem"
"3108"	"c"	"Christmas Eve"	NA	"Khruyat fa'Krihst'muhs"
"3109"	"c"	"Christmas goose"	NA	"Krihst'muhs-gus"
"3110"	"c"	"Christmas ham"	NA	"Krihst'muhs-hahm"
"3111"	"c"	"Christmas lights"	NA	"Krihst'muhs-ha'geletlar"
"3112"	"c"	"Christmas music"	NA	"Krihst'muhs-ralash-tanaf"
"3113"	"c"	"Christmas ornament"	NA	"Krihst'muhs-fanet"
"3114"	"c"	"Christmas parade"	NA	"Krihst'muhs-kezuhrt"
"3115"	"c"	"Christmas party"	NA	"Krihst'muhs-gabuluh"
"3116"	"c"	"Christmas present"	NA	"Krihst'muhs-tan"
"3117"	"c"	"Christmas tree"	NA	"Krihst'muhs-lap"
"3118"	"c"	"Christmas wreath"	NA	"Krihst'muhs-kaspakuv"
"3119"	"c"	"Chromatic circle"	NA	"kur-da-kuv"
"3120"	"c"	"Chromatid"	NA	"toltra-kan"
"3121"	"c"	"Chromatin"	NA	"toltra-tukh"
"3122"	"c"	"Chromic acid"	NA	"sash t'slau-keh-eshu"
"3123"	"c"	"Chrominance"	NA	"kur-thon'es"
"3124"	"c"	"Chromite"	NA	"slau|-tukh|-van"
"3125"	"c"	"Chromium"	NA	"slau-tukh"
"3126"	"c"	"Chromodynamic light"	NA	"kur-toranu-ha'gel"
"3127"	"c"	"Chromoelectric force field"	NA	"fosh-vunai t'kur-raf-tepul"
"3128"	"c"	"Chromosome"	NA	"toltra"
"3129"	"c"	"Chromosome mapping"	NA	"toltra-besaun"
"3130"	"c"	"Chromosome set"	NA	"toltra-eku"
"3131"	"c"	"Chromosome sorting"	NA	"toltra-wihfelaun"
"3132"	"c"	"Chronicle"	NA	"kitvar"
"3133"	"c"	"Chroniton"	NA	"wak'gal"
"3134"	"c"	"Chroniton beam"	NA	"wak'gal-zehl|ek|"
"3135"	"c"	"Chronological order"	NA	"wak-yut-zek"
"3136"	"c"	"Chronology"	NA	"wak-yut"
"3137"	"c"	"Chronometer"	NA	"wak-thonek, to-kisevyalik wak-vel"
"3138"	"c"	"Chronophobia"	NA	"wak-pthak"
"3139"	"c"	"Chrysalis"	NA	"rubah-mesk"
"3140"	"c"	"Chrysocolla"	NA	"vlakafu"
"3141"	"c"	"Chuff"	"n., rocketry"	"yon-mulka"
"3142"	"c"	"Chug"	"n., rocketry"	"mash-mulka"
"3143"	"c"	"Church"	NA	"shi'kon"
"3144"	"c"	"Church service"	NA	"shi'kon-van-tu"
"3145"	"c"	"Churchyard"	NA	"shi'kon-ker"
"3146"	"c"	"Chyle"	NA	"thel'a-yak|-masu|"
"3147"	"c"	"Chyluria"	NA	"ritsuri-nosh t'thel'a-yak svi'vazh"
"3148"	"c"	"Chyme"	NA	"ulef-skaun-yemtra"
"3149"	"c"	"Cicatrix"	NA	"ulidar"
"3150"	"c"	"Cigar"	NA	"sih'gar"
"3151"	"c"	"Cigarette"	NA	"sih'guhret"
"3152"	"c"	"Cigarette case"	NA	"sih'guhret-mesk"
"3153"	"c"	"Cigarette lighter"	NA	"sih'guhret-yonek"
"3154"	"c"	"Cigarette paper"	NA	"sih'guhret-dun"
"3155"	"c"	"Cilium"	NA	"nala-isach"
"3156"	"c"	"Cinder cone"	NA	"vitush-kunel"
"3157"	"c"	"Cinnabar"	NA	"masumok|-tukh|-van, vlau'u t'masumok-tukh"
"3158"	"c"	"Cinnamon"	NA	"sihnuh'muhn"
"3159"	"c"	"Cinnamon bread"	NA	"sihnuh'muhn-kap"
"3160"	"c"	"Cinnamon roll"	NA	"sihnuh'muhn-padukal-kapel"
"3161"	"c"	"Cinnamon sugar"	NA	"sihnuh'muhn-slor-tukh"
"3162"	"c"	"Cinnamon toast"	NA	"faskhaval-kap-fnaneshat k'sihnuh'muhn-slor-tukh"
"3163"	"c"	"Circadian rhythm"	NA	"gad-da-nelik tvi-farr-dath"
"3164"	"c"	"Circinate"	"bot."	"pakuvauk"
"3165"	"c"	"Circle"	"n."	"da-kuv"
"3166"	"c"	"Circuit"	"elect."	"raf-kuv"
"3167"	"c"	"Circuit breaker"	NA	"raf-kuv-shayek"
"3168"	"c"	"Circuit diagram"	NA	"raf-kuv-ufesan"
"3169"	"c"	"Circuit relay"	NA	"raf-kuv-gol'dvunek"
"3170"	"c"	"Circuitry"	NA	"raf-kuvtra"
"3171"	"c"	"Circular"	"adj."	"da-kuv-, da-kuvik"
"3172"	"c"	"Circular measure"	NA	"da-kuv-thon"
"3173"	"c"	"Circular polarization"	NA	"raf-kuv-narakaya"
"3174"	"c"	"Circular saw"	NA	"da-kuv-zuneshek"
"3175"	"c"	"Circular velocity"	NA	"da-kuv-threshan"
"3176"	"c"	"Circulate"	NA	"da-kuvau"
"3177"	"c"	"Circulating current"	NA	"da-kuvau-katrom"
"3178"	"c"	"Circulating pump"	NA	"da-kuvau-spol"
"3179"	"c"	"Circulation"	NA	"da-kuvaya"
"3180"	"c"	"Circulator"	NA	"da-kuvayek"
"3181"	"c"	"Circulatory system"	NA	"da-kuvau-torektra"
"3182"	"c"	"Circumcise"	NA	"sanesh-tor fa-wadi"
"3183"	"c"	"Circumcision"	NA	"sanesh t'fa-wadi"
"3184"	"c"	"Circumference"	NA	"pa-thon |t'da-kuv|"
"3185"	"c"	"Circumlocution"	NA	"pamair-staribek"
"3186"	"c"	"Circumnavigate"	NA	"pa-panu-kharau"
"3187"	"c"	"Circumnutation"	NA	"kulan-to'ovaya"
"3188"	"c"	"Circus"	NA	"suhrkuhs |suk'sai-kel-gluvaya|"
"3189"	"c"	"Circus act"	NA	"suhrkuhs-toperuvaya"
"3190"	"c"	"Circus performer"	NA	"suhrkuhs-torpersu"
"3191"	"c"	"Cirque"	"geol."	"ku-li-razh"
"3192"	"c"	"Cirrocumulus"	"cloud"	"tra-tcha-wan"
"3193"	"c"	"Cirrostratus"	"cloud"	"tin-tcha-wan"
"3194"	"c"	"Cirrus"	"cloud"	"tcha-wan"
"3195"	"c"	"Citadel"	NA	"pid-klomak"
"3196"	"c"	"Citric acid"	NA	"savas-sash"
"3197"	"c"	"Citrine"	NA	"lemuhn-kin-kur(adj.); kinuku(n., quartz)"
"3198"	"c"	"Citizen"	NA	"ek'tokahrsu"
"3199"	"c"	"Citizen's band "	"CB"	"ek'tokahrsu-gelt-sauribayek"
"3200"	"c"	"City"	NA	"kahr"
"3201"	"c"	"City council"	NA	"kahr-shikh-orna"
"3202"	"c"	"City hall"	NA	"kahr-kel"
"3203"	"c"	"Civil defense"	NA	"kahr-fosh"
"3204"	"c"	"Civil war"	NA	"tvi-ahkh"
"3205"	"c"	"Civilian"	"n."	"kahrsu"
"3206"	"c"	"Civilization"	NA	"sutenivaya"
"3207"	"c"	"Claim"	"v."	"nargitolau"
"3208"	"c"	"Clairvoyance"	NA	"iraglan"
"3209"	"c"	"Clairvoyant"	"n."	"iraglasu"
"3210"	"c"	"Clamp"	"n."	"stek"
"3211"	"c"	"Clan"	NA	"maat"
"3212"	"c"	"Clang"	NA	"mlinkaya(n.), mlinkau(v.)"
"3213"	"c"	"Clap"	NA	"el'rukwitaya(n.), el'rukwitau(v.)"
"3214"	"c"	"Clapper"	NA	"kus-vakh-kwitek"
"3215"	"c"	"Clarification"	NA	"starpa'shaya"
"3216"	"c"	"Clarifier"	"device"	"pa'shayek"
"3217"	"c"	"Clarify"	"explain"	"starpa'shau"
"3218"	"c"	"Clarinet"	NA	"klerih'net"
"3219"	"c"	"Clarity"	NA	"pa'shi'es"
"3220"	"c"	"Clasp"	"n."	"terunemek"
"3221"	"c"	"Class"	"n."	"mohrn"
"3222"	"c"	"Classical"	"adj."	"ram-, ramik"
"3223"	"c"	"Classical music"	NA	"ram-ralash-tanaf"
"3224"	"c"	"Classification"	NA	"mohrnaya"
"3225"	"c"	"Classified information"	NA	"mohrnal-ro'fori"
"3226"	"c"	"Classify"	NA	"mohrnau"
"3227"	"c"	"Classroom"	NA	"saven-tvi-shal(TGV), saven-tvihal(MGV)"
"3228"	"c"	"Clastic rock"	NA	"ifisal-ne'ti-kov"
"3229"	"c"	"Clause"	"grammar"	"zhirabal"
"3230"	"c"	"Claustrophobia"	NA	"ikap-shal-pthak"
"3231"	"c"	"Clavicle"	NA	"dol-hinek"
"3232"	"c"	"Claw"	"n."	"spahk"
"3233"	"c"	"Clay"	"n."	"krizhiv"
