"FRST_LETTER"	"vulcan"	"variety"	"pos"	"croftian_crossling_concepts"	"fse"
"932"	"f"	"Fokarikau "	"MGV"	"v."	"ACT.CONC"	"reinforce"
"933"	"f"	"Folau "	"MGV"	"v."	"ACT.CONC"	"react"
"934"	"f"	"Folaya "	"MGV"	"n."	"OBJ.CONC"	"reaction"
"935"	"f"	"Folu "	"MGV"	"n."	"OBJ.CONC"	"turquoise (stone)"
"936"	"f"	"Folu-kur "	"MGV"	"adj."	"PROP.CONC"	"turquoise"
"937"	"f"	"Fon-ta-nel"	"NGS"	"n."	"OBJ.CONC"	"children's game similar to blindman's bluff"
"938"	"f"	"Fonn "	"MGV"	"adj."	"PROP.CONC"	"loyal"
"939"	"f"	"Fonn'es "	"MGV"	"n."	"OBJ.CONC"	"loyalty"
"940"	"f"	"Fori-kol "	"MGV"	"n."	"OBJ.CONC"	"Vulcan vegetable stew"
"941"	"f"	"Fosh "	"MGV"	"n."	"OBJ.CONC"	"defense"
"942"	"f"	"Fosh-lan "	"MGV"	"n."	"OBJ.CONC"	"First lieutenant"
"943"	"f"	"Fosh-tor "	"MGV"	"v."	"ACT.CONC"	"defend"
"944"	"f"	"Foshek "	"MGV"	"n."	"OBJ.CONC"	"barrier, barricade"
"945"	"f"	"Foshinahru"	"anc."	"n."	"OBJ.CONC"	"defensive psionic warrior"
"946"	"f"	"Foshsu "	"MGV"	"n."	"OBJ.CONC"	"defender"
"947"	"f"	"Foshuhl "	"MGV"	"v."	"ACT.CONC"	"shed"
"948"	"f"	"Frut "	"MGV"	"n."	"OBJ.CONC"	"sump"
"949"	"f"	"Frut-spol "	"MGV"	"n."	"OBJ.CONC"	"sump pump"
"950"	"f"	"Fudau "	"MGV"	"v."	"ACT.CONC"	"regard"
"951"	"f"	"Fukat "	"MGV"	"n."	"OBJ.CONC"	"buffer"
"952"	"f"	"Fukat-raf-kuv "	"MGV"	"n."	"OBJ.CONC"	"buffer circuit"
"953"	"f"	"Fulag-tor "	"MGV"	"v."	"ACT.CONC"	"lead"
"954"	"f"	"Fulagsu "	"MGV"	"n."	"OBJ.CONC"	"leader"
"955"	"f"	"Fun-tor "	"MGV"	"v."	"ACT.CONC"	"return"
"956"	"f"	"Fun-wun "	"MGV"	"n."	"OBJ.CONC"	"ancient boomerang-like weapon"
"957"	"f"	"Fupa s' "	"MGV"	"prep."	"SITU.MOD"	"according to"
"958"	"f"	"Fusik "	"MGV"	"adj."	"PROP.CONC"	"bashful, shy"
"959"	"g"	"G'teth "	"NGS"	"n."	"OBJ.CONC"	"Vulcan bush whose berries are made into a mocha-like drink"
"960"	"g"	"Gad "	"MGV"	"n."	"OBJ.CONC"	"day"
"961"	"g"	"Gad t'keshtan "	"MGV"	"n."	"OBJ.CONC"	"birthday"
"962"	"g"	"Gad-besan "	"MGV"	"n."	"OBJ.CONC"	"calendar"
"963"	"g"	"Gad-dunap "	"MGV"	"n."	"OBJ.CONC"	"diary"
"964"	"g"	"Gad-ha'gel "	"MGV"	"n."	"OBJ.CONC"	"daylight"
"965"	"g"	"Gad-keshtan "	"MGV"	"n."	"OBJ.CONC"	"daybreak"
"966"	"g"	"Gad-wak "	"MGV"	"n."	"OBJ.CONC"	"daytime"
"967"	"g"	"Gaf "	"MGV"	"n."	"OBJ.CONC"	"hip"
"968"	"g"	"Gahv "	"MGV"	"n."	"OBJ.CONC"	"amethyst"
"969"	"g"	"Gakh "	"MGV"	"n."	"OBJ.CONC"	"wart"
"970"	"g"	"Gal-tor "	"MGV"	"v."	"ACT.CONC"	"lean, list"
"971"	"g"	"Galat "	"MGV"	"n."	"OBJ.CONC"	"lean, list"
"972"	"g"	"Galu "	"MGV"	"n."	"OBJ.CONC"	"atom"
"973"	"g"	"Galu-dahshau-folayek "	"MGV"	"n."	"OBJ.CONC"	"(atomic) fission reactor"
"974"	"g"	"Galu-dahshaya "	"MGV"	"n."	"OBJ.CONC"	"(atomic) fission"
"975"	"g"	"Galu-kaunshau-folayek "	"MGV"	"n."	"OBJ.CONC"	"(atomic) fusion reactor"
"976"	"g"	"Galu-kaunshaya "	"MGV"	"n."	"OBJ.CONC"	"(atomic) fusion"
"977"	"g"	"Galu-svitan "	"MGV"	"n."	"OBJ.CONC"	"(atomic) nucleus"
"978"	"g"	"Galu-thorshek "	"MGV"	"n."	"OBJ.CONC"	"atomic bomb"
"979"	"g"	"Galupik "	"MGV"	"adj."	"PROP.CONC"	"atomic"
"980"	"g"	"Galutravek "	"MGV"	"n."	"OBJ.CONC"	"molecule"
"981"	"g"	"Gan|-| "	"MGV"	"adj."	"PROP.CONC"	"shallow"
"982"	"g"	"Gas'rak "	"MGV"	"n."	"OBJ.CONC.MOD"	"right"
"983"	"g"	"Gasu "	"MGV"	"n."	"OBJ.CONC"	"flux"
"984"	"g"	"Gatselau "	"MGV"	"v."	"ACT.CONC"	"entertain"
"985"	"g"	"Gatselausu "	"MGV"	"n."	"OBJ.CONC"	"entertainer"
"986"	"g"	"Gatselaya "	"MGV"	"n."	"OBJ.CONC"	"entertainment"
"987"	"g"	"Gau "	"MGV"	"v."	"ACT.CONC"	"pulse, pulsate, throb"
"988"	"g"	"Gav "	"MGV"	"n."	"OBJ.CONC"	"chalk"
"989"	"g"	"Gef "	"MGV"	"n."	"OBJ.CONC"	"coast, (sea)shore"
"990"	"g"	"Gehnli "	"MGV"	"adj."	"PROP.CONC"	"essential"
"991"	"g"	"Gel "	"MGV"	"n."	"OBJ.CONC"	"branch (path or segment)"
"992"	"g"	"Gel-tor "	"MGV"	"v."	"ACT.CONC"	"branch"
"993"	"g"	"Geldau "	"MGV"	"v."	"ACT.CONC"	"hang (dangle)"
"994"	"g"	"Geldel "	"MGV"	"n."	"OBJ.CONC"	"fringe, decorative border"
"995"	"g"	"Gen-lis "	"MGV"	"n."	"OBJ.CONC"	"language"
"996"	"g"	"Geretau "	"MGV"	"v."	"ACT.CONC"	"protect"
"997"	"g"	"Geretausu "	"MGV"	"n."	"OBJ.CONC"	"protector (person)"
"998"	"g"	"Geretaya "	"MGV"	"n."	"OBJ.CONC"	"protection"
"999"	"g"	"Gir "	"MGV"	"n."	"OBJ.CONC"	"root"
"1000"	"g"	"Gis-tukh "	"MGV"	"n."	"OBJ.CONC"	"arsenic"
"1001"	"g"	"Gisam "	"MGV"	"n."	"OBJ.CONC"	"poison"
"1002"	"g"	"Gish "	"MGV"	"v."	"ACT.CONC"	"expect"
"1003"	"g"	"Gishat "	"MGV"	"n."	"OBJ.CONC"	"expectation"
"1004"	"g"	"Gishen "	"MGV"	"n."	"OBJ.CONC"	"what one expects"
"1005"	"g"	"Gishu "	"MGV"	"n."	"OBJ.CONC"	"(the) expected"
"1006"	"g"	"Gla-tor "	"MGV"	"v."	"ACT.CONC"	"see"
"1007"	"g"	"Glan "	"MGV"	"n."	"OBJ.CONC"	"sight"
"1008"	"g"	"Glan-fam "	"MGV"	"adj."	"PROP.CONC"	"blind, sightless"
"1009"	"g"	"Glan-fam'es "	"MGV"	"n."	"OBJ.CONC"	"blindness, sightlessness"
"1010"	"g"	"Glan-Famu "	"MGV"	"n."	"OBJ.CONC"	"The Blind (blind people)"
"1011"	"g"	"Glantau "	"MGV"	"v."	"ACT.CONC"	"observe"
"1012"	"g"	"Glantaya "	"MGV"	"n."	"OBJ.CONC"	"observation"
"1013"	"g"	"Glantokau "	"MGV"	"v."	"ACT.CONC"	"signal"
"1014"	"g"	"Glantokaya "	"MGV"	"n."	"OBJ.CONC"	"signal"
"1015"	"g"	"Glashau "	"MGV"	"v."	"ACT.CONC"	"scan"
"1016"	"g"	"Glat "	"MGV"	"n."	"OBJ.CONC"	"sign"
"1017"	"g"	"Glayek "	"MGV"	"n."	"OBJ.CONC"	"camera"
"1018"	"g"	"Glazhau "	"MGV"	"v."	"ACT.CONC"	"look"
"1019"	"g"	"Glozho "	"anc."	"n."	"OBJ.CONC"	"elixir"
"1020"	"g"	"Glu|-| "	"MGV"	"adj."	"PROP.CONC"	"deep"
"1021"	"g"	"Gluder "	"MGV"	"n."	"OBJ.CONC"	"depth"
"1022"	"g"	"Gluder-thonek "	"MGV"	"n."	"OBJ.CONC"	"depth finder"
"1023"	"g"	"Gluv-math "	"MGV"	"n."	"OBJ.CONC"	"display panel"
"1024"	"g"	"Gluv-mesk "	"MGV"	"n."	"OBJ.CONC"	"display case"
"1025"	"g"	"Gluvau "	"MGV"	"v."	"ACT.CONC"	"display, exhibit, show"
"1026"	"g"	"Gluvayek "	"MGV"	"n."	"OBJ.CONC"	"display screen"
"1027"	"g"	"Gmor"	"anc."	"n."	"OBJ.CONC"	"mirage"
"1028"	"g"	"Gnal "	"MGV"	"n."	"OBJ.CONC"	"tumor"
"1029"	"g"	"Gnihsau "	"MGV"	"v."	"ACT.CONC"	"snap (bite at)"
"1030"	"g"	"Go'an"	"anc."	"n."	"OBJ.CONC"	"Han'shir's central desert"
"1031"	"g"	"Gof "	"MGV"	"n."	"OBJ.CONC"	"toe"
"1032"	"g"	"Goh "	"MGV"	"adv."	"ACT.CONC.MOD"	"only, merely"
"1033"	"g"	"Gol"	"anc."	"n."	"OBJ.CONC"	"famed region of Vulcan, home to the Kolinahru and others"
"1034"	"g"	"Gol'nev "	"MGV"	"n."	"OBJ.CONC"	"aid, help"
"1035"	"g"	"Gol'nevsu "	"MGV"	"n."	"OBJ.CONC"	"aide, helper"
"1036"	"g"	"Gol-tor "	"MGV"	"v."	"ACT.CONC"	"aid, help"
"1037"	"g"	"Gol-tukh "	"MGV"	"n."	"OBJ.CONC"	"rubidium"
"1038"	"g"	"Gonaf "	"MGV"	"n."	"OBJ.CONC"	"button"
"1039"	"g"	"Gor "	"MGV"	"n."	"OBJ.CONC"	"knot"
"1040"	"g"	"Gosh "	"MGV"	"n."	"OBJ.CONC"	"abyss"
"1041"	"g"	"Gotsu "	"MGV"	"n."	"OBJ.CONC"	"heir"
"1042"	"g"	"Grashau "	"MGV"	"n."	"OBJ.CONC"	"abrade"
"1043"	"g"	"Grashaya "	"MGV"	"n."	"OBJ.CONC"	"abrasion"
"1044"	"g"	"Grashayek "	"MGV"	"n."	"OBJ.CONC"	"abrasive"
"1045"	"g"	"Grat "	"MGV"	"n."	"OBJ.CONC"	"skull"
"1046"	"g"	"Grazhau "	"MGV"	"v."	"ACT.CONC"	"grind"
"1047"	"g"	"Grazhiv "	"MGV"	"n."	"OBJ.CONC"	"dust, powder"
"1048"	"g"	"Grazhiv-sahriv "	"MGV"	"n."	"OBJ.CONC"	"dust storm"
"1049"	"g"	"Grei "	"MGV"	"n."	"OBJ.CONC"	"limit"
"1050"	"g"	"Grenat "	"MGV"	"n."	"OBJ.CONC"	"domain"
"1051"	"g"	"Grohk "	"MGV"	"n."	"OBJ.CONC"	"perversion"
"1052"	"g"	"Grok-tukh "	"MGV"	"n."	"OBJ.CONC"	"bismuth"
"1053"	"g"	"Grut "	"MGV"	"n."	"OBJ.CONC"	"agate"
"1054"	"g"	"Gu-vam "	"anc."	"n."	"OBJ.CONC"	"duty"
"1055"	"g"	"Gubi "	"anc."	"n."	"OBJ.CONC"	"stigma"
"1056"	"g"	"Guf "	"MGV"	"n."	"OBJ.CONC"	"socket"
"1057"	"g"	"Guhf-, Guhfik "	"MGV"	"adj."	"PROP.CONC"	"boring, dull"
"1058"	"g"	"Guhl'es "	"MGV"	"n."	"OBJ.CONC"	"confidence"
"1059"	"g"	"Guhras-zhit "	"MGV"	"n."	"OBJ.CONC"	"invective (grammar)"
"1060"	"g"	"Guhsh "	"MGV"	"n."	"OBJ.CONC"	"debris, garbage, refuse, trash, offal, rubbish"
"1061"	"g"	"Guramau "	"MGV"	"v."	"ACT.CONC"	"appal(l)"
"1062"	"g"	"Guramayik "	"MGV"	"adj."	"PROP.CONC"	"appalled"
"1063"	"g"	"Guv "	"MGV"	"n."	"OBJ.CONC"	"gender, sex"
"1064"	"h"	"Ha "	"MGV"	"interj."	"interjection"	"yes, affirmative"
"1065"	"h"	"Ha'au "	"MGV"	"v."	"ACT.CONC"	"dwell, live"
"1066"	"h"	"Ha'fek "	"MGV"	"n."	"OBJ.CONC"	"candle"
"1067"	"h"	"Ha'gel "	"MGV"	"n."	"OBJ.CONC"	"light (illumination)"
"1068"	"h"	"Ha'gel-neyek "	"MGV"	"n."	"OBJ.CONC"	"dimmer (switch)"
"1069"	"h"	"Ha'gel-tanaf "	"MGV"	"n."	"OBJ.CONC"	"photography"
"1070"	"h"	"Ha'gel-tanafsu "	"MGV"	"n."	"OBJ.CONC"	"photographer"
"1071"	"h"	"Ha'gelet "	"MGV"	"n."	"OBJ.CONC"	"(electric) light, electric lamp, any device that gives off light"
"1072"	"h"	"Ha'kiv "	"MGV"	"n."	"OBJ.CONC"	"life"
"1073"	"h"	"Ha'tanau "	"MGV"	"v."	"ACT.CONC"	"give off light"
"1074"	"h"	"Ha'u "	"MGV"	"n."	"OBJ.CONC"	"the Living"
"1075"	"h"	"Ha-donka'es "	"MGV"	"n."	"OBJ.CONC"	"biodiversity"
"1076"	"h"	"Ha-ek'shal "	"MGV"	"n."	"OBJ.CONC"	"ecosphere"
"1077"	"h"	"Ha-ek'torektra "	"MGV"	"n."	"OBJ.CONC"	"ecosystem"
"1078"	"h"	"Ha-ha'tanaya "	"MGV"	"n."	"OBJ.CONC"	"bioluminescence"
"1079"	"h"	"Ha-kel "	"MGV"	"n."	"OBJ.CONC"	"home"
"1080"	"h"	"Ha-meil-tal "	"MGV"	"n."	"OBJ.CONC"	"biochemistry"
"1081"	"h"	"Ha-tal "	"MGV"	"n."	"OBJ.CONC"	"biology"
"1082"	"h"	"Ha-tehvar "	"MGV"	"n."	"OBJ.CONC"	"biological hazard, biohazard"
"1083"	"h"	"Ha-tor "	"MGV"	"v."	"ACT.CONC"	"live"
"1084"	"h"	"Ha-vel-ahkhan "	"MGV"	"n."	"OBJ.CONC"	"biological warfare"
"1085"	"h"	"Ha-wak-vel "	"MGV"	"n."	"OBJ.CONC"	"biological clock"
"1086"	"h"	"Haf "	"MGV"	"n."	"OBJ.CONC"	"gap"
"1087"	"h"	"Hafa'el "	"anc."	"n."	"OBJ.CONC"	"hostel(ry)"
"1088"	"h"	"Hafan-tor "	"MGV"	"v."	"ACT.CONC"	"stay (spending time/being a guest)"
"1089"	"h"	"Hafau "	"MGV"	"v."	"ACT.CONC"	"remain (behind)"
"1090"	"h"	"Hag-, Hagik "	"MGV"	"adj."	"PROP.CONC"	"easy, facile"
"1091"	"h"	"Hahf "	"MGV"	"n."	"OBJ.CONC"	"adversary, foe"
"1092"	"h"	"Haifan "	"MGV"	"n."	"OBJ.CONC"	"banner, flag, pennant"
"1093"	"h"	"Haishau "	"MGV"	"v."	"ACT.CONC"	"demand"
"1094"	"h"	"Hakau "	"MGV"	"v."	"ACT.CONC"	"heal"
"1095"	"h"	"Hakausu "	"MGV"	"n."	"OBJ.CONC"	"healer"
"1096"	"h"	"Hakur-, Hakurik "	"MGV"	"adj."	"PROP.CONC"	"vivid"
"1097"	"h"	"Hal"	"anc."	"n."	"OBJ.CONC"	"car, cart"
"1098"	"h"	"Hal-masu "	"MGV"	"n."	"OBJ.CONC"	"gasoline, petrol, liquid fuel"
"1099"	"h"	"Hal-sov-mishek "	"MGV"	"n."	"OBJ.CONC"	"carburetor"
"1100"	"h"	"Hal-tor "	"MGV"	"v."	"ACT.CONC"	"go, proceed"
"1101"	"h"	"Halan "	"MGV"	"n."	"OBJ.CONC"	"trip, trek, voyage"
"1102"	"h"	"Halek "	"MGV"	"n."	"OBJ.CONC"	"wheel"
"1103"	"h"	"Hali "	"MGV"	"n."	"OBJ.CONC"	"conveyance, craft, ship, vehicle"
"1104"	"h"	"Halitra "	"MGV"	"n."	"OBJ.CONC"	"fleet"
"1105"	"h"	"Halitra-lan "	"MGV"	"n."	"OBJ.CONC"	"admiral"
"1106"	"h"	"Halovau "	"MGV"	"v."	"ACT.CONC"	"journey, travel"
"1107"	"h"	"Halovaya "	"MGV"	"n."	"OBJ.CONC"	"journey, travel"
"1108"	"h"	"Halovaya t'Falor"	"MGV"	"n."	"OBJ.CONC"	"Falor's Journey' a tale of enlightenment with 348 verses"
"1109"	"h"	"Han "	"MGV"	"n."	"OBJ.CONC"	"nose"
"1110"	"h"	"Haniwah "	"NGS"	"n."	"OBJ.CONC"	"Vulcan seed-plant"
"1111"	"h"	"Hanuvau "	"MGV"	"v."	"ACT.CONC"	"flicker"
"1112"	"h"	"Haran "	"anc."	"n."	"OBJ.CONC"	"legendary 'fire beast'"
"1113"	"h"	"Has "	"MGV"	"n."	"OBJ.CONC"	"disease"
"1114"	"h"	"Has-bosh "	"MGV"	"adj."	"PROP.CONC"	"sick"
"1115"	"h"	"Has-dvinsu "	"MGV"	"n."	"OBJ.CONC"	"orderly"
"1116"	"h"	"Has-golsu, Has-gol'nevsu "	"MGV"	"n."	"OBJ.CONC"	"nurse"
"1117"	"h"	"Has-mar "	"MGV"	"n."	"OBJ.CONC"	"sickness"
"1118"	"h"	"Has-mashek "	"MGV"	"n."	"OBJ.CONC"	"amp(o)ule"
"1119"	"h"	"Has-tal "	"MGV"	"n."	"OBJ.CONC"	"medicine (the medical field)"
"1120"	"h"	"Hasam "	"MGV"	"n."	"OBJ.CONC"	"toxin"
"1121"	"h"	"Hasau "	"MGV"	"v."	"ACT.CONC"	"sicken, become ill"
"1122"	"h"	"Haseret "	"MGV"	"n."	"OBJ.CONC"	"medicine, medication"
"1123"	"h"	"Hash-hassu "	"MGV"	"n."	"OBJ.CONC"	"flight surgeon"
"1124"	"h"	"Hash-hutau "	"MGV"	"v."	"ACT.CONC"	"buffet"
"1125"	"h"	"Hash-hutaya "	"MGV"	"n."	"OBJ.CONC"	"buffeting"
"1126"	"h"	"Hash-mishek "	"MGV"	"n."	"OBJ.CONC"	"flight engineer"
"1127"	"h"	"Hash-tal "	"MGV"	"n."	"OBJ.CONC"	"aeronautics"
"1128"	"h"	"Hash-tash "	"MGV"	"n."	"OBJ.CONC"	"flight control"
"1129"	"h"	"Hash-tor "	"MGV"	"v."	"ACT.CONC"	"fly"
"1130"	"h"	"Hash-vulu "	"MGV"	"n."	"OBJ.CONC"	"angle of attack"
"1131"	"h"	"Hash-yut "	"MGV"	"n."	"OBJ.CONC"	"flight path"
"1132"	"h"	"Hashan-mathra "	"MGV"	"n."	"OBJ.CONC"	"flying saucer"
"1133"	"h"	"Hashsu "	"MGV"	"n."	"OBJ.CONC"	"aviator, flier, pilot"
"1134"	"h"	"Hashsu-shal "	"MGV"	"n."	"OBJ.CONC"	"cockpit"
"1135"	"h"	"Hassu "	"MGV"	"n."	"OBJ.CONC"	"healer, doctor, physician"
"1136"	"h"	"Hasu "	"MGV"	"n."	"OBJ.CONC"	"a living person/being"
"1137"	"h"	"Hasuk "	"MGV"	"adj."	"PROP.CONC"	"medical"
"1138"	"h"	"Hau "	"MGV"	"v."	"ACT.CONC"	"add"
"1139"	"h"	"Hau-vel "	"MGV"	"n."	"OBJ.CONC"	"addend(um)"
"1140"	"h"	"Haul-kur "	"MGV"	"adj."	"PROP.CONC"	"silver"
"1141"	"h"	"Haul-tor "	"MGV"	"v."	"ACT.CONC"	"reflect"
"1142"	"h"	"Haul-tukh "	"MGV"	"n."	"OBJ.CONC"	"silver (metal)"
"1143"	"h"	"Haulan "	"MGV"	"n."	"OBJ.CONC"	"reflection"
"1144"	"h"	"Haulat "	"MGV"	"n."	"OBJ.CONC"	"mirror"
"1145"	"h"	"Haulek "	"MGV"	"n."	"OBJ.CONC"	"reflector"
"1146"	"h"	"Haurok "	"MGV"	"n."	"OBJ.CONC"	"a Vulcan bird"
"1147"	"h"	"Haya "	"MGV"	"n."	"OBJ.CONC"	"addition"
"1148"	"h"	"Hayaik "	"MGV"	"adj."	"PROP.CONC"	"additional"
"1149"	"h"	"Hayal|-| "	"MGV"	"adj."	"PROP.CONC"	"calm, placid"
"1150"	"h"	"Hayalit "	"MGV"	"n."	"OBJ.CONC"	"a small Vulcan burrowing animal"
"1151"	"h"	"Hayatau "	"MGV"	"v."	"ACT.CONC"	"augment"
"1152"	"h"	"Hayataya "	"MGV"	"n."	"OBJ.CONC"	"augmentation"
"1153"	"h"	"Heh "	"MGV"	"conj."	"CONNECTOR"	"and (after a consonant sound)"
"1154"	"h"	"Herbosh "	"MGV"	"adj."	"PROP.CONC"	"empty"
"1155"	"h"	"Herik "	"MGV"	"adj."	"PROP.CONC"	"suitable"
"1156"	"h"	"Herish-tor "	"MGV"	"v."	"ACT.CONC"	"blend"
"1157"	"h"	"Herishek "	"MGV"	"n."	"OBJ.CONC"	"blender"
"1158"	"h"	"Hertak "	"MGV"	"n."	"OBJ.CONC"	"baffle"
"1159"	"h"	"Hertak-math "	"MGV"	"n."	"OBJ.CONC"	"baffle plate"
"1160"	"h"	"Hesha "	"MGV"	"v."	"ACT.CONC"	"fold"
"1161"	"h"	"Hi "	"MGV"	"conj."	"CONNECTOR"	"but"
"1162"	"h"	"Hif-bi "	"MGV"	"pron."	"OBJ.CONC"	"to me (superior)"
"1163"	"h"	"Hiktra "	"MGV"	"n."	"OBJ.CONC"	"font (type)"
"1164"	"h"	"Hil-tor "	"MGV"	"v."	"ACT.CONC"	"dig"
"1165"	"h"	"Hilek "	"MGV"	"n."	"OBJ.CONC"	"digger, shovel, spade"
"1166"	"h"	"Hinek "	"MGV"	"n."	"OBJ.CONC"	"bone"
"1167"	"h"	"Hinek-masu "	"MGV"	"n."	"OBJ.CONC"	"(bone) marrow"
"1168"	"h"	"Hinek-tukh "	"MGV"	"n."	"OBJ.CONC"	"calcium"
"1169"	"h"	"Hinekau "	"MGV"	"v."	"ACT.CONC"	"calcify, ossify"
"1170"	"h"	"Hirat"	"anc."	"n."	"OBJ.CONC"	"grape-like Vulcan plant"
"1171"	"h"	"His-tor "	"MGV"	"v."	"ACT.CONC"	"strain"
"1172"	"h"	"Hish-pla-kur "	"MGV"	"adj."	"PROP.CONC"	"cyan"
"1173"	"h"	"Hish-tor "	"MGV"	"v."	"ACT.CONC"	"print, press (down on)"
"1174"	"h"	"Hishek "	"MGV"	"n."	"OBJ.CONC"	"press"
"1175"	"h"	"Hishel "	"MGV"	"n."	"OBJ.CONC"	"stress"
"1176"	"h"	"Hishsu "	"MGV"	"n."	"OBJ.CONC"	"printer (person)"
"1177"	"h"	"Hitra "	"MGV"	"n."	"OBJ.CONC"	"media"
"1178"	"h"	"Hiya'es "	"MGV"	"n."	"OBJ.CONC"	"expertise"
"1179"	"h"	"Hiyasu "	"MGV"	"n."	"OBJ.CONC"	"expert"
"1180"	"h"	"Hiyet "	"MGV"	"adv."	"DEG.MOD"	"enough"
"1181"	"h"	"Hizhuk "	"MGV"	"adj."	"PROP.CONC"	"quiet"
"1182"	"h"	"Ho-rah"	"anc."	"n."	"OBJ.CONC"	"ritual"
"1183"	"h"	"Hohl-tor "	"MGV"	"v."	"ACT.CONC"	"shave"
"1184"	"h"	"Hoknau "	"MGV"	"v."	"ACT.CONC"	"accumulate, gather (up)"
"1185"	"h"	"Hoknaya "	"MGV"	"n."	"OBJ.CONC"	"accumulation, gathering (up)"
"1186"	"h"	"Hokni'es "	"MGV"	"n."	"OBJ.CONC"	"consciousness"
"1187"	"h"	"Holsh "	"MGV"	"n."	"OBJ.CONC"	"myth"
"1188"	"h"	"Holsh-tal "	"MGV"	"n."	"OBJ.CONC"	"mythology"
"1189"	"h"	"Holshan-, Holshanik "	"MGV"	"adj."	"PROP.CONC"	"mythical"
"1190"	"h"	"Hosh-tukh "	"MGV"	"n."	"OBJ.CONC"	"fluorine"
"1191"	"h"	"Hotor-, Hotorik "	"MGV"	"adj."	"PROP.CONC"	"formal"
"1192"	"h"	"Hu'a "	"anc."	"n."	"OBJ.CONC"	"mythological demon seductress; succubus"
"1193"	"h"	"Hudokal-, Hudokalik "	"MGV"	"adj."	"PROP.CONC"	"delighted"
"1194"	"h"	"Hudokau "	"MGV"	"v."	"ACT.CONC"	"delight"
"1195"	"h"	"Hudokaya "	"MGV"	"n."	"OBJ.CONC"	"delight"
"1196"	"h"	"Huhk "	"MGV"	"n."	"OBJ.CONC"	"hiccup"
"1197"	"h"	"Huhsh "	"MGV"	"n."	"OBJ.CONC"	"cough"
"1198"	"h"	"Huht-, Huhtik "	"MGV"	"adj."	"PROP.CONC"	"solid"
"1199"	"h"	"Hushau "	"MGV"	"v."	"ACT.CONC"	"gasp"
"1200"	"h"	"Hutau "	"MGV"	"v."	"ACT.CONC"	"shake, quake"
"1201"	"h"	"Huun "	"MGV"	"interj."	"interjection"	"oops"
"1202"	"i"	"I, I' "	"MGV"	"adv."	"ACT.CONC.MOD"	"now"
"1203"	"i"	"If "	"MGV"	"pron."	"OBJ.CONC"	"which"
"1204"	"i"	"Ifis "	"MGV"	"n."	"OBJ.CONC"	"transport(ation)"
"1205"	"i"	"Ifis-tor "	"MGV"	"v."	"ACT.CONC"	"transport"
"1206"	"i"	"Ifis-ur "	"MGV"	"n."	"OBJ.CONC"	"travel tube, 'subway'"
"1207"	"i"	"Ifisek "	"MGV"	"n."	"OBJ.CONC"	"transporter"
"1208"	"i"	"Igen "	"MGV"	"n."	"OBJ.CONC"	"sky"
"1209"	"i"	"Igen-tukh "	"MGV"	"n."	"OBJ.CONC"	"atmosphere"
"1210"	"i"	"Igen-va "	"MGV"	"n."	"OBJ.CONC"	"weather"
"1211"	"i"	"Igen-wesh "	"obs."	"n."	"OBJ.CONC"	"lightning"
"1212"	"i"	"Ihat-, Ihatik "	"MGV"	"adj."	"PROP.CONC"	"extant"
"1213"	"i"	"Ihn'es "	"MGV"	"n."	"OBJ.CONC"	"density"
"1214"	"i"	"Ihn-, Ihnik "	"MGV"	"adj."	"PROP.CONC"	"dense"
"1215"	"i"	"Ihk-banut"	"anc."	"pron."	"OBJ.CONC"	"'the subject of discussion', 'the one who is being spoken of'"
"1216"	"i"	"Ihsek "	"MGV"	"n."	"OBJ.CONC"	"fog"
"1217"	"i"	"Ihsek-pasht "	"MGV"	"adj."	"PROP.CONC"	"fogbound"
"1218"	"i"	"Ihsek-vikayek "	"MGV"	"n."	"OBJ.CONC"	"foghorn"
"1219"	"i"	"Ihsekweik "	"MGV"	"adj."	"PROP.CONC"	"foggy"
"1220"	"i"	"Ihv-mofek "	"MGV"	"n."	"OBJ.CONC"	"pry bar"
"1221"	"i"	"Ihv-tor "	"MGV"	"v."	"ACT.CONC"	"pry"
"1222"	"i"	"Ihv-vel "	"MGV"	"n."	"OBJ.CONC"	"crowbar"
"1223"	"i"	"Ikap-, Ikapik "	"MGV"	"adj."	"PROP.CONC"	"closed"
"1224"	"i"	"Ikap-raf-kuvik "	"MGV"	"adj."	"PROP.CONC"	"closed circuit"
"1225"	"i"	"Ikap-shal-pthak "	"MGV"	"n."	"OBJ.CONC"	"claustrophobia"
"1226"	"i"	"Ikap-tor "	"MGV"	"v."	"ACT.CONC"	"close, shut"
"1227"	"i"	"Ikapirak "	"MGV"	"n."	"OBJ.CONC"	"closed posture' (meditation)"
"1228"	"i"	"Iksevau "	"MGV"	"v."	"ACT.CONC"	"annoy"
"1229"	"i"	"Iksevaunik "	"MGV"	"adj."	"PROP.CONC"	"annoyed"
"1230"	"i"	"Ikun "	"MGV"	"n."	"OBJ.CONC"	"cone"
"1231"	"i"	"Il "	"MGV"	"conj."	"CONNECTOR"	"or, nor"
"1232"	"i"	"Il-eh "	"MGV"	"conj."	"CONNECTOR"	"and/or"
"1233"	"i"	"Im-tukh "	"MGV"	"n."	"OBJ.CONC"	"argon"
"1234"	"i"	"In-du-ka"	"NGS"	"n."	"OBJ.CONC"	"small, red-leafed tree found near water"
"1235"	"i"	"Inam-, Inamik "	"MGV"	"adj."	"PROP.CONC"	"existent"
