index	FRST_LETTER	vulcan	pronunciation	variety	pos	croftian_crossling_concepts	fse	misc
940	f	Fori-kol 	NA	MGV	n.	OBJ.CONC	Vulcan vegetable stew	Vulcan-specific term
941	f	Fosh 	NA	MGV	n.	OBJ.CONC	defense	
942	f	Fosh-lan 	 ' fo- l_n 	MGV	n.	OBJ.CONC	First lieutenant	army/marines
943	f	Fosh-tor 	NA	MGV	v.	ACT.CONC	defend	
944	f	Foshek 	 ' fo- ek 	MGV	n.	OBJ.CONC	barrier, barricade	
945	f	Foshinahru	NA	anc.	n.	OBJ.CONC	defensive psionic warrior	
946	f	Foshsu 	 ' fo- su 	MGV	n.	OBJ.CONC	defender	
947	f	Foshuhl 	 ' fo -l , -l 	MGV	v.	ACT.CONC	shed	
948	f	Frut 	NA	MGV	n.	OBJ.CONC	sump	
949	f	Frut-spol 	NA	MGV	n.	OBJ.CONC	sump pump	
950	f	Fudau 	NA	MGV	v.	ACT.CONC	regard	
951	f	Fukat 	 fu - ' k_t 	MGV	n.	OBJ.CONC	buffer	
952	f	Fukat-raf-kuv 	NA	MGV	n.	OBJ.CONC	buffer circuit	
953	f	Fulag-tor 	NA	MGV	v.	ACT.CONC	lead	
954	f	Fulagsu 	NA	MGV	n.	OBJ.CONC	leader	
955	f	Fun-tor 	NA	MGV	v.	ACT.CONC	return	
956	f	Fun-wun 	 fun - ' wun 	MGV	n.	OBJ.CONC	ancient boomerang-like weapon	Vulcan-specific term
957	f	Fupa s' 	NA	MGV	prep.	SITU.MOD	according to	
958	f	Fusik 	 ' fus - ik 	MGV	adj.	PROP.CONC	bashful, shy	
959	g	G'teth 	 g- ' te	NGS	n.	OBJ.CONC	Vulcan bush whose berries are made into a mocha-like drink	Vulcan-specific term
960	g	Gad 	NA	MGV	n.	OBJ.CONC	day	
961	g	Gad t'keshtan 	NA	MGV	n.	OBJ.CONC	birthday	
962	g	Gad-besan 	NA	MGV	n.	OBJ.CONC	calendar	
963	g	Gad-dunap 	NA	MGV	n.	OBJ.CONC	diary	
964	g	Gad-ha'gel 	NA	MGV	n.	OBJ.CONC	daylight	
965	g	Gad-keshtan 	NA	MGV	n.	OBJ.CONC	daybreak	
966	g	Gad-wak 	 ' g_d - w_k 	MGV	n.	OBJ.CONC	daytime	
967	g	Gaf 	NA	MGV	n.	OBJ.CONC	hip	
968	g	Gahv 	NA	MGV	n.	OBJ.CONC	amethyst	
969	g	Gakh 	NA	MGV	n.	OBJ.CONC	wart	
970	g	Gal-tor 	NA	MGV	v.	ACT.CONC	lean, list	
971	g	Galat 	 g_l - ' _t 	MGV	n.	OBJ.CONC	lean, list	
972	g	Galu 	 g_ - ' lu 	MGV	n.	OBJ.CONC	atom	
973	g	Galu-dahshau-folayek 	NA	MGV	n.	OBJ.CONC	(atomic) fission reactor	
974	g	Galu-dahshaya 	NA	MGV	n.	OBJ.CONC	(atomic) fission	
975	g	Galu-kaunshau-folayek 	NA	MGV	n.	OBJ.CONC	(atomic) fusion reactor	
976	g	Galu-kaunshaya 	NA	MGV	n.	OBJ.CONC	(atomic) fusion	
977	g	Galu-svitan 	NA	MGV	n.	OBJ.CONC	(atomic) nucleus	
978	g	Galu-thorshek 	NA	MGV	n.	OBJ.CONC	atomic bomb	
979	g	Galupik 	 g_ - ' lu - pik 	MGV	adj.	PROP.CONC	atomic	
980	g	Galutravek 	 g_ - ' lu - tr_ - vek 	MGV	n.	OBJ.CONC	molecule	
981	g	Gan|-| 	NA	MGV	adj.	PROP.CONC	shallow	
982	g	Gas'rak 	 ' g_s - r_k 	MGV	n.	OBJ.CONC.MOD	right	direction
983	g	Gasu 	NA	MGV	n.	OBJ.CONC	flux	
984	g	Gatselau 	 g_ - tse - ' la_ 	MGV	v.	ACT.CONC	entertain	
985	g	Gatselausu 	NA	MGV	n.	OBJ.CONC	entertainer	
986	g	Gatselaya 	NA	MGV	n.	OBJ.CONC	entertainment	
987	g	Gau 	NA	MGV	v.	ACT.CONC	pulse, pulsate, throb	
988	g	Gav 	NA	MGV	n.	OBJ.CONC	chalk	
989	g	Gef 	NA	MGV	n.	OBJ.CONC	coast, (sea)shore	
990	g	Gehnli 	NA	MGV	adj.	PROP.CONC	essential	
991	g	Gel 	NA	MGV	n.	OBJ.CONC	branch (path or segment)	
992	g	Gel-tor 	NA	MGV	v.	ACT.CONC	branch	
993	g	Geldau 	NA	MGV	v.	ACT.CONC	hang (dangle)	
994	g	Geldel 	NA	MGV	n.	OBJ.CONC	fringe, decorative border	
995	g	Gen-lis 	 gen - ' lis 	MGV	n.	OBJ.CONC	language	
996	g	Geretau 	NA	MGV	v.	ACT.CONC	protect	
997	g	Geretausu 	NA	MGV	n.	OBJ.CONC	protector (person)	
998	g	Geretaya 	NA	MGV	n.	OBJ.CONC	protection	
999	g	Gir 	NA	MGV	n.	OBJ.CONC	root	
1000	g	Gis-tukh 	NA	MGV	n.	OBJ.CONC	arsenic	
1001	g	Gisam 	 gis - ' _m 	MGV	n.	OBJ.CONC	poison	
1002	g	Gish 	NA	MGV	v.	ACT.CONC	expect	
1003	g	Gishat 	 gi- ' _t 	MGV	n.	OBJ.CONC	expectation	
1004	g	Gishen 	 ' gi- en 	MGV	n.	OBJ.CONC	what one expects	
1005	g	Gishu 	NA	MGV	n.	OBJ.CONC	(the) expected	
1006	g	Gla-tor 	NA	MGV	v.	ACT.CONC	see	
1007	g	Glan 	NA	MGV	n.	OBJ.CONC	sight	
1008	g	Glan-fam 	NA	MGV	adj.	PROP.CONC	blind, sightless	
1009	g	Glan-fam'es 	NA	MGV	n.	OBJ.CONC	blindness, sightlessness	
1010	g	Glan-Famu 	NA	MGV	n.	OBJ.CONC	The Blind (blind people)	
1011	g	Glantau 	NA	MGV	v.	ACT.CONC	observe	
1012	g	Glantaya 	NA	MGV	n.	OBJ.CONC	observation	
1013	g	Glantokau 	NA	MGV	v.	ACT.CONC	signal	
1014	g	Glantokaya 	NA	MGV	n.	OBJ.CONC	signal	
1015	g	Glashau 	NA	MGV	v.	ACT.CONC	scan	
1016	g	Glat 	NA	MGV	n.	OBJ.CONC	sign	
1017	g	Glayek 	 ' gl_ - jek 	MGV	n.	OBJ.CONC	camera	
1018	g	Glazhau 	NA	MGV	v.	ACT.CONC	look	
1019	g	Glozho 	 ' glo -o 	anc.	n.	OBJ.CONC	elixir	
1020	g	Glu|-| 	NA	MGV	adj.	PROP.CONC	deep	
1021	g	Gluder 	 glu - ' der 	MGV	n.	OBJ.CONC	depth	
1022	g	Gluder-thonek 	NA	MGV	n.	OBJ.CONC	depth finder	
1023	g	Gluv-math 	NA	MGV	n.	OBJ.CONC	display panel	
1024	g	Gluv-mesk 	NA	MGV	n.	OBJ.CONC	display case	
1025	g	Gluvau 	NA	MGV	v.	ACT.CONC	display, exhibit, show	
1026	g	Gluvayek 	NA	MGV	n.	OBJ.CONC	display screen	
1027	g	Gmor	NA	anc.	n.	OBJ.CONC	mirage	
1028	g	Gnal 	 gn_l 	MGV	n.	OBJ.CONC	tumor	med.
1029	g	Gnihsau 	NA	MGV	v.	ACT.CONC	snap (bite at)	
1030	g	Go'an	NA	anc.	n.	OBJ.CONC	Han'shir's central desert	Vulcan-specific term
1031	g	Gof 	NA	MGV	n.	OBJ.CONC	toe	anat.
1032	g	Goh 	NA	MGV	adv.	ACT.CONC.MOD	only, merely	
1033	g	Gol	NA	anc.	n.	OBJ.CONC	famed region of Vulcan, home to the Kolinahru and others	Vulcan-specific term
1034	g	Gol'nev 	NA	MGV	n.	OBJ.CONC	aid, help	
1035	g	Gol'nevsu 	NA	MGV	n.	OBJ.CONC	aide, helper	
1036	g	Gol-tor 	NA	MGV	v.	ACT.CONC	aid, help	
1037	g	Gol-tukh 	NA	MGV	n.	OBJ.CONC	rubidium	
1038	g	Gonaf 	 ' go - n_f 	MGV	n.	OBJ.CONC	button	
1039	g	Gor 	NA	MGV	n.	OBJ.CONC	knot	
1040	g	Gosh 	NA	MGV	n.	OBJ.CONC	abyss	
1041	g	Gotsu 	 ' got - su 	MGV	n.	OBJ.CONC	heir	
1042	g	Grashau 	NA	MGV	n.	OBJ.CONC	abrade	
1043	g	Grashaya 	NA	MGV	n.	OBJ.CONC	abrasion	
1044	g	Grashayek 	NA	MGV	n.	OBJ.CONC	abrasive	
1045	g	Grat 	NA	MGV	n.	OBJ.CONC	skull	anat.
1046	g	Grazhau 	NA	MGV	v.	ACT.CONC	grind	
1047	g	Grazhiv 	NA	MGV	n.	OBJ.CONC	dust, powder	
1048	g	Grazhiv-sahriv 	NA	MGV	n.	OBJ.CONC	dust storm	
1049	g	Grei 	NA	MGV	n.	OBJ.CONC	limit	
1050	g	Grenat 	 gre - ' n_t 	MGV	n.	OBJ.CONC	domain	
1051	g	Grohk 	 gr_k 	MGV	n.	OBJ.CONC	perversion	
1052	g	Grok-tukh 	NA	MGV	n.	OBJ.CONC	bismuth	
1053	g	Grut 	NA	MGV	n.	OBJ.CONC	agate	
1054	g	Gu-vam 	 gu - ' v_m 	anc.	n.	OBJ.CONC	duty	
1055	g	Gubi 	 ' gu - bi 	anc.	n.	OBJ.CONC	stigma	
1056	g	Guf 	NA	MGV	n.	OBJ.CONC	socket	
1057	g	Guhf-, Guhfik 	NA	MGV	adj.	PROP.CONC	boring, dull	
1058	g	Guhl'es 	NA	MGV	n.	OBJ.CONC	confidence	
1059	g	Guhras-zhit 	NA	MGV	n.	OBJ.CONC	invective (grammar)	ling.
1060	g	Guhsh 	 g, g	MGV	n.	OBJ.CONC	debris, garbage, refuse, trash, offal, rubbish	
1061	g	Guramau 	 gu - r_ - ' ma_ 	MGV	v.	ACT.CONC	appal(l)	
1062	g	Guramayik 	NA	MGV	adj.	PROP.CONC	appalled	
1063	g	Guv 	NA	MGV	n.	OBJ.CONC	gender, sex	
1064	h	Ha 	NA	MGV	interj.	interjection	yes, affirmative	
1065	h	Ha'au 	NA	MGV	v.	ACT.CONC	dwell, live	
1066	h	Ha'fek 	 ' h_ - fek 	MGV	n.	OBJ.CONC	candle	
1067	h	Ha'gel 	 h_ - ' gel 	MGV	n.	OBJ.CONC	light (illumination)	
1068	h	Ha'gel-neyek 	NA	MGV	n.	OBJ.CONC	dimmer (switch)	
1069	h	Ha'gel-tanaf 	NA	MGV	n.	OBJ.CONC	photography	
1070	h	Ha'gel-tanafsu 	NA	MGV	n.	OBJ.CONC	photographer	
1071	h	Ha'gelet 	NA	MGV	n.	OBJ.CONC	(electric) light, electric lamp, any device that gives off light	
1072	h	Ha'kiv 	 h_ - ' kiv 	MGV	n.	OBJ.CONC	life	
1073	h	Ha'tanau 	NA	MGV	v.	ACT.CONC	give off light	
1074	h	Ha'u 	 h_ - ' u 	MGV	n.	OBJ.CONC	the Living	
1075	h	Ha-donka'es 	NA	MGV	n.	OBJ.CONC	biodiversity	
1076	h	Ha-ek'shal 	NA	MGV	n.	OBJ.CONC	ecosphere	
1077	h	Ha-ek'torektra 	NA	MGV	n.	OBJ.CONC	ecosystem	
1078	h	Ha-ha'tanaya 	NA	MGV	n.	OBJ.CONC	bioluminescence	
1079	h	Ha-kel 	 h_ - ' kel 	MGV	n.	OBJ.CONC	home	
1080	h	Ha-meil-tal 	NA	MGV	n.	OBJ.CONC	biochemistry	study
1081	h	Ha-tal 	 ' h_ - t_l 	MGV	n.	OBJ.CONC	biology	study
1082	h	Ha-tehvar 	NA	MGV	n.	OBJ.CONC	biological hazard, biohazard	
1083	h	Ha-tor 	 h_ - ' tor 	MGV	v.	ACT.CONC	live	
1084	h	Ha-vel-ahkhan 	NA	MGV	n.	OBJ.CONC	biological warfare	
1085	h	Ha-wak-vel 	NA	MGV	n.	OBJ.CONC	biological clock	
1086	h	Haf 	NA	MGV	n.	OBJ.CONC	gap	
1087	h	Hafa'el 	 h_ - ' f_ - el 	anc.	n.	OBJ.CONC	hostel(ry)	
1088	h	Hafan-tor 	NA	MGV	v.	ACT.CONC	stay (spending time/being a guest)	
1089	h	Hafau 	NA	MGV	v.	ACT.CONC	remain (behind)	
1090	h	Hag-, Hagik 	NA	MGV	adj.	PROP.CONC	easy, facile	
1091	h	Hahf 	NA	MGV	n.	OBJ.CONC	adversary, foe	
1092	h	Haifan 	 ha_ - ' f_n 	MGV	n.	OBJ.CONC	banner, flag, pennant	
1093	h	Haishau 	 ha_ - 'a_ 	MGV	v.	ACT.CONC	demand	
1094	h	Hakau 	NA	MGV	v.	ACT.CONC	heal	
1095	h	Hakausu 	NA	MGV	n.	OBJ.CONC	healer	
1096	h	Hakur-, Hakurik 	NA	MGV	adj.	PROP.CONC	vivid	
1097	h	Hal	NA	anc.	n.	OBJ.CONC	car, cart	
1098	h	Hal-masu 	NA	MGV	n.	OBJ.CONC	gasoline, petrol, liquid fuel	
1099	h	Hal-sov-mishek 	NA	MGV	n.	OBJ.CONC	carburetor	
1100	h	Hal-tor 	NA	MGV	v.	ACT.CONC	go, proceed	
1101	h	Halan 	 ' h_l - _n 	MGV	n.	OBJ.CONC	trip, trek, voyage	
1102	h	Halek 	 ' h_l - ek 	MGV	n.	OBJ.CONC	wheel	
1103	h	Hali 	 ' h_l - i 	MGV	n.	OBJ.CONC	conveyance, craft, ship, vehicle	vehicle
1104	h	Halitra 	NA	MGV	n.	OBJ.CONC	fleet	
1105	h	Halitra-lan 	NA	MGV	n.	OBJ.CONC	admiral	
1106	h	Halovau 	NA	MGV	v.	ACT.CONC	journey, travel	
1107	h	Halovaya 	NA	MGV	n.	OBJ.CONC	journey, travel	
1108	h	Halovaya t'Falor	NA	MGV	n.	OBJ.CONC	Falor's Journey' a tale of enlightenment with 348 verses	Vulcan-specific term
1109	h	Han 	NA	MGV	n.	OBJ.CONC	nose	anat.
1110	h	Haniwah 	 h_n - ' i - w_' , - w_ , - w_ 	NGS	n.	OBJ.CONC	Vulcan seed-plant	Vulcan-specific term
1111	h	Hanuvau 	NA	MGV	v.	ACT.CONC	flicker	
1112	h	Haran 	 ' h_ - r_n 	anc.	n.	OBJ.CONC	legendary 'fire beast'	myth.
1113	h	Has 	NA	MGV	n.	OBJ.CONC	disease	
1114	h	Has-bosh 	NA	MGV	adj.	PROP.CONC	sick	
1115	h	Has-dvinsu 	NA	MGV	n.	OBJ.CONC	orderly	med.
1116	h	Has-golsu, Has-gol'nevsu 	NA	MGV	n.	OBJ.CONC	nurse	med.
1117	h	Has-mar 	NA	MGV	n.	OBJ.CONC	sickness	
1118	h	Has-mashek 	NA	MGV	n.	OBJ.CONC	amp(o)ule	med.
1119	h	Has-tal 	NA	MGV	n.	OBJ.CONC	medicine (the medical field)	med.
1120	h	Hasam 	 h_s - ' _m 	MGV	n.	OBJ.CONC	toxin	
1121	h	Hasau 	NA	MGV	v.	ACT.CONC	sicken, become ill	med.
1122	h	Haseret 	NA	MGV	n.	OBJ.CONC	medicine, medication	med.
1123	h	Hash-hassu 	NA	MGV	n.	OBJ.CONC	flight surgeon	med.
1124	h	Hash-hutau 	NA	MGV	v.	ACT.CONC	buffet	aero.
1125	h	Hash-hutaya 	NA	MGV	n.	OBJ.CONC	buffeting	aero.
1126	h	Hash-mishek 	NA	MGV	n.	OBJ.CONC	flight engineer	
1127	h	Hash-tal 	NA	MGV	n.	OBJ.CONC	aeronautics	aero.
1128	h	Hash-tash 	NA	MGV	n.	OBJ.CONC	flight control	
1129	h	Hash-tor 	NA	MGV	v.	ACT.CONC	fly	
1130	h	Hash-vulu 	NA	MGV	n.	OBJ.CONC	angle of attack	aero.
1131	h	Hash-yut 	NA	MGV	n.	OBJ.CONC	flight path	
1132	h	Hashan-mathra 	NA	MGV	n.	OBJ.CONC	flying saucer	
1133	h	Hashsu 	NA	MGV	n.	OBJ.CONC	aviator, flier, pilot	
1134	h	Hashsu-shal 	NA	MGV	n.	OBJ.CONC	cockpit	aero.
1135	h	Hassu 	 ' h_s - su , ' h_s- u 	MGV	n.	OBJ.CONC	healer, doctor, physician	
1136	h	Hasu 	 ' h_ - su 	MGV	n.	OBJ.CONC	a living person/being	
1137	h	Hasuk 	 h_s - ' uk 	MGV	adj.	PROP.CONC	medical	med.
1138	h	Hau 	NA	MGV	v.	ACT.CONC	add	
1139	h	Hau-vel 	NA	MGV	n.	OBJ.CONC	addend(um)	
1140	h	Haul-kur 	NA	MGV	adj.	PROP.CONC	silver	color
1141	h	Haul-tor 	NA	MGV	v.	ACT.CONC	reflect	
1142	h	Haul-tukh 	NA	MGV	n.	OBJ.CONC	silver (metal)	
1143	h	Haulan 	 ' ha_l - _n 	MGV	n.	OBJ.CONC	reflection	
1144	h	Haulat 	 ha_l - ' _t 	MGV	n.	OBJ.CONC	mirror	
1145	h	Haulek 	 ' ha_l - ek 	MGV	n.	OBJ.CONC	reflector	
1146	h	Haurok 	NA	MGV	n.	OBJ.CONC	a Vulcan bird	Vulcan-specific term
1147	h	Haya 	NA	MGV	n.	OBJ.CONC	addition	
1148	h	Hayaik 	NA	MGV	adj.	PROP.CONC	additional	
1149	h	Hayal|-| 	 h_ - ' j_l 	MGV	adj.	PROP.CONC	calm, placid	
1150	h	Hayalit 	NA	MGV	n.	OBJ.CONC	a small Vulcan burrowing animal	Vulcan-specific term
1151	h	Hayatau 	NA	MGV	v.	ACT.CONC	augment	
1152	h	Hayataya 	 h_ - j_ - ' t_ - j_ 	MGV	n.	OBJ.CONC	augmentation	
1153	h	Heh 	 he, h_ 	MGV	conj.	CONNECTOR	and (after a consonant sound)	
1154	h	Herbosh 	 her - ' bo	MGV	adj.	PROP.CONC	empty	
1155	h	Herik 	NA	MGV	adj.	PROP.CONC	suitable	
1156	h	Herish-tor 	NA	MGV	v.	ACT.CONC	blend	
1157	h	Herishek 	NA	MGV	n.	OBJ.CONC	blender	device
1158	h	Hertak 	 ' her - t_k 	MGV	n.	OBJ.CONC	baffle	
1159	h	Hertak-math 	NA	MGV	n.	OBJ.CONC	baffle plate	
1160	h	Hesha 	 he - '_ 	MGV	v.	ACT.CONC	fold	
1161	h	Hi 	NA	MGV	conj.	CONNECTOR	but	
1162	h	Hif-bi 	NA	MGV	pron.	OBJ.CONC	to me (superior)	
1163	h	Hiktra 	NA	MGV	n.	OBJ.CONC	font (type)	
1164	h	Hil-tor 	NA	MGV	v.	ACT.CONC	dig	
1165	h	Hilek 	 ' hil - ek 	MGV	n.	OBJ.CONC	digger, shovel, spade	
1166	h	Hinek 	 hi - ' nek 	MGV	n.	OBJ.CONC	bone	anat.
1167	h	Hinek-masu 	NA	MGV	n.	OBJ.CONC	(bone) marrow	anat.
1168	h	Hinek-tukh 	NA	MGV	n.	OBJ.CONC	calcium	
1169	h	Hinekau 	 hi - nek - ' a_ 	MGV	v.	ACT.CONC	calcify, ossify	
1170	h	Hirat	NA	anc.	n.	OBJ.CONC	grape-like Vulcan plant	Vulcan-specific term
1171	h	His-tor 	NA	MGV	v.	ACT.CONC	strain	
1172	h	Hish-pla-kur 	NA	MGV	adj.	PROP.CONC	cyan	color
1173	h	Hish-tor 	NA	MGV	v.	ACT.CONC	print, press (down on)	
1174	h	Hishek 	 ' hi- ek 	MGV	n.	OBJ.CONC	press	
1175	h	Hishel 	 hi- ' el 	MGV	n.	OBJ.CONC	stress	
1176	h	Hishsu 	 ' hi- su 	MGV	n.	OBJ.CONC	printer (person)	
1177	h	Hitra 	NA	MGV	n.	OBJ.CONC	media	
1178	h	Hiya'es 	 hi - ' j_ - es 	MGV	n.	OBJ.CONC	expertise	
1179	h	Hiyasu 	NA	MGV	n.	OBJ.CONC	expert	
1180	h	Hiyet 	 hi - ' jet 	MGV	adv.	DEG.MOD	enough	
1181	h	Hizhuk 	NA	MGV	adj.	PROP.CONC	quiet	
1182	h	Ho-rah	NA	anc.	n.	OBJ.CONC	ritual	
1183	h	Hohl-tor 	NA	MGV	v.	ACT.CONC	shave	
1184	h	Hoknau 	 hok - ' na_ 	MGV	v.	ACT.CONC	accumulate, gather (up)	
1185	h	Hoknaya 	NA	MGV	n.	OBJ.CONC	accumulation, gathering (up)	
1186	h	Hokni'es 	 ' hok - ni - es 	MGV	n.	OBJ.CONC	consciousness	
1187	h	Holsh 	NA	MGV	n.	OBJ.CONC	myth	
1188	h	Holsh-tal 	NA	MGV	n.	OBJ.CONC	mythology	
1189	h	Holshan-, Holshanik 	NA	MGV	adj.	PROP.CONC	mythical	
1190	h	Hosh-tukh 	NA	MGV	n.	OBJ.CONC	fluorine	
1191	h	Hotor-, Hotorik 	NA	MGV	adj.	PROP.CONC	formal	
1192	h	Hu'a 	 ' hu - _ 	anc.	n.	OBJ.CONC	"mythological demon seductress; succubus"	myth.
1193	h	Hudokal-, Hudokalik 	NA	MGV	adj.	PROP.CONC	delighted	
1194	h	Hudokau 	NA	MGV	v.	ACT.CONC	delight	
1195	h	Hudokaya 	NA	MGV	n.	OBJ.CONC	delight	
1196	h	Huhk 	 hk , hk 	MGV	n.	OBJ.CONC	hiccup	
1197	h	Huhsh 	 h, h	MGV	n.	OBJ.CONC	cough	
1198	h	Huht-, Huhtik 	NA	MGV	adj.	PROP.CONC	solid	
1199	h	Hushau 	NA	MGV	v.	ACT.CONC	gasp	
1200	h	Hutau 	NA	MGV	v.	ACT.CONC	shake, quake	
1201	h	Huun 	NA	MGV	interj.	interjection	oops	
1202	i	I, I' 	NA	MGV	adv.	ACT.CONC.MOD	now	
1203	i	If 	NA	MGV	pron.	OBJ.CONC	which	
1204	i	Ifis 	 i - ' fis 	MGV	n.	OBJ.CONC	transport(ation)	
1205	i	Ifis-tor 	 i - fis - ' tor 	MGV	v.	ACT.CONC	transport	
1206	i	Ifis-ur 	 i - ' fis - ur 	MGV	n.	OBJ.CONC	travel tube, 'subway'	
1207	i	Ifisek 	 i - ' fis - ek 	MGV	n.	OBJ.CONC	transporter	
1208	i	Igen 	 i - ' gen 	MGV	n.	OBJ.CONC	sky	
1209	i	Igen-tukh 	NA	MGV	n.	OBJ.CONC	atmosphere	
1210	i	Igen-va 	NA	MGV	n.	OBJ.CONC	weather	
1211	i	Igen-wesh 	NA	obs.	n.	OBJ.CONC	lightning	
1212	i	Ihat-, Ihatik 	NA	MGV	adj.	PROP.CONC	extant	
1213	i	Ihn'es 	NA	MGV	n.	OBJ.CONC	density	
1214	i	Ihn-, Ihnik 	NA	MGV	adj.	PROP.CONC	dense	
1215	i	Ihk-banut	NA	anc.	pron.	OBJ.CONC	'the subject of discussion', 'the one who is being spoken of'	
1216	i	Ihsek 	 _s - ' ek 	MGV	n.	OBJ.CONC	fog	
1217	i	Ihsek-pasht 	NA	MGV	adj.	PROP.CONC	fogbound	
1218	i	Ihsek-vikayek 	NA	MGV	n.	OBJ.CONC	foghorn	
1219	i	Ihsekweik 	 _s - ' ek - we_k 	MGV	adj.	PROP.CONC	foggy	
1220	i	Ihv-mofek 	NA	MGV	n.	OBJ.CONC	pry bar	
1221	i	Ihv-tor 	NA	MGV	v.	ACT.CONC	pry	
1222	i	Ihv-vel 	NA	MGV	n.	OBJ.CONC	crowbar	
1223	i	Ikap-, Ikapik 	NA	MGV	adj.	PROP.CONC	closed	
1224	i	Ikap-raf-kuvik 	NA	MGV	adj.	PROP.CONC	closed circuit	
1225	i	Ikap-shal-pthak 	NA	MGV	n.	OBJ.CONC	claustrophobia	
1226	i	Ikap-tor 	NA	MGV	v.	ACT.CONC	close, shut	
1227	i	Ikapirak 	NA	MGV	n.	OBJ.CONC	closed posture' (meditation)	meditaton
1228	i	Iksevau 	 ik - se - ' va_ 	MGV	v.	ACT.CONC	annoy	
1229	i	Iksevaunik 	NA	MGV	adj.	PROP.CONC	annoyed	
1230	i	Ikun 	 i - ' kun 	MGV	n.	OBJ.CONC	cone	shape
1231	i	Il 	NA	MGV	conj.	CONNECTOR	or, nor	
1232	i	Il-eh 	 il - ' e , - ' _ 	MGV	conj.	CONNECTOR	and/or	
1233	i	Im-tukh 	NA	MGV	n.	OBJ.CONC	argon	
1234	i	In-du-ka	NA	NGS	n.	OBJ.CONC	small, red-leafed tree found near water	Vulcan-specific term
1235	i	Inam-, Inamik 	NA	MGV	adj.	PROP.CONC	existent	
1236	i	Ip-sut	NA	anc.	v.	ACT.CONC	conceal, hide	
1237	i	Ir 	NA	MGV	n.	OBJ.CONC	distance	
1238	i	Ir-zehl-kes 	NA	MGV	n.	OBJ.CONC	azimuth	
1239	i	Irak|-| 	 i - ' r_k 	MGV	adj.	PROP.CONC	far, distant	
1240	i	Is 	NA	MGV	n.	OBJ.CONC	use	
1241	i	Is-bosh 	NA	MGV	adj.	PROP.CONC	useful	
1242	i	Is-fam-, Is-famik 	 ' is - f_m 	MGV	adj.	PROP.CONC	useless	
1243	i	Is-lof 	 is - ' lof 	MGV	n.	OBJ.CONC	function	
1244	i	Is-tor 	NA	MGV	v.	ACT.CONC	use	
1245	i	Isachya 	 i - ' s_t- j_ 	MGV	n.	OBJ.CONC	hair	
1246	i	Isan 	 ' is - _n 	MGV	n.	OBJ.CONC	usage	
1247	i	Ish-veh 	NA	MGV	pron.	SITU.MOD	that one	
1248	i	Isha 	 ' i -_ 	MGV	adv.	ACT.CONC.MOD	also, too	
1249	i	Iskan 	 is - ' k_n 	MGV	n.	OBJ.CONC	economy	
1250	i	Iskan-tal 	NA	MGV	n.	OBJ.CONC	economics	study
1251	i	Iskan-talsu 	NA	MGV	n.	OBJ.CONC	economist	
1252	i	Istau 	NA	MGV	v.	ACT.CONC	wish	
1253	i	Istaya 	NA	MGV	n.	OBJ.CONC	wish	
1254	i	Isu-keh 	NA	MGV	n.	OBJ.CONC	a type of Vulcan bush	Vulcan-specific term
1255	i	It 	NA	MGV	n.	OBJ.CONC	tact	
1256	i	It-bosh 	 ' it - bo	MGV	adj.	PROP.CONC	tactful	
1257	i	It-fam-, It-famik 	NA	MGV	adj.	PROP.CONC	tactless	
1258	i	Itaren 	 i - ' t_ - ren 	MGV	v.	ACT.CONC	thank	
1259	i	Iwi|-| 	 i - ' wi 	MGV	adv.	ACT.CONC.MOD	immediate(ly)	
1260	i	Iyi-, Iyik 	NA	MGV	adj.	PROP.CONC	contemporary, modern	
1261	i	Iyula 	 i - ' ju - l_ 	MGV	n.	OBJ.CONC	culture	
1262	i	Izau 	NA	MGV	v.	ACT.CONC	shift	
1263	i	Izayek 	 i - ' z_ - jek 	MGV	n.	OBJ.CONC	shifter, shift lever	
1264	i	Izh 	NA	MGV	n.	OBJ.CONC	snow	
1265	i	Izh-ash'el 	NA	MGV	n.	OBJ.CONC	showshoe	
1266	i	Izh-sahriv 	NA	MGV	n.	OBJ.CONC	snowstorm, blizzard	
1267	i	Izh-vok 	NA	MGV	n.	OBJ.CONC	snow level	
1268	i	Izh-wef 	NA	MGV	n.	OBJ.CONC	snowflake	
1269	i	Izh-zahzek 	NA	MGV	n.	OBJ.CONC	snow plow	
1270	i	Izhau 	NA	MGV	v.	ACT.CONC	snow	
1271	i	Izhyan-, Izhyanik 	NA	MGV	adj.	PROP.CONC	snowy	
1272	k	K'ashiv 	- '	MGV	adv.	ACT.CONC.MOD	often	
1273	k	K'avon	NA	TGV	adj.	PROP.CONC	hungry	food
1274	k	K'ha 	- '	MGV	adj.	PROP.CONC	alive	
1275	k	K'ha-solektau-pthak 	NA	MGV	n.	OBJ.CONC	taphephobia	
1276	k	K'hu'kru 	- '-	MGV	n.	OBJ.CONC	babble, hubbub	
1277	k	K'kan 	- '	MGV	adj.	PROP.CONC	pregnant	
1278	k	K'kari 	- '-	NGS	n.	OBJ.CONC	'k'karee', a mottled, blue-grey poisonous snake	Vulcan-specific term
1279	k	K'kla-min 	NA	MGV	adv.	ACT.CONC.MOD	in fact, in all actuality	
1280	k	K'kvai 	- '	obs.	prep.	SITU.MOD	through	
1281	k	K'kvai'ei 		TGV	prep.	SITU.MOD	through which	
1282	k	K'kvayei 		MGV	prep.	SITU.MOD	through which	
