"FRST_LETTER"	"vulcan"	"pronunciation"	"variety"	"pos"	"fse"	"misc"
"1038"	"g"	"Gonaf "	" ' go - n_f "	"MGV"	NA	" button"	""
"1039"	"g"	"Gor "	NA	"MGV"	"n."	" knot"	""
"1040"	"g"	"Gosh "	NA	"MGV"	NA	" abyss"	""
"1041"	"g"	"Gotsu "	" ' got - su "	"MGV"	NA	" heir"	""
"1042"	"g"	"Grashau "	NA	"MGV"	NA	" abrade"	""
"1043"	"g"	"Grashaya "	NA	"MGV"	NA	" abrasion"	""
"1044"	"g"	"Grashayek "	NA	"MGV"	"n."	" abrasive"	""
"1045"	"g"	"Grat "	NA	"MGV"	NA	" skull"	""
"1046"	"g"	"Grazhau "	NA	"MGV"	"v."	" grind"	""
"1047"	"g"	"Grazhiv "	NA	"MGV"	"n."	" dust, powder"	""
"1048"	"g"	"Grazhiv-sahriv "	NA	"MGV"	NA	" dust storm"	""
"1049"	"g"	"Grei "	NA	"MGV"	"n."	" limit"	""
"1050"	"g"	"Grenat "	" gre - ' n_t "	"MGV"	NA	" domain"	""
"1051"	"g"	"Grohk "	" gr_k "	"MGV"	NA	" perversion"	""
"1052"	"g"	"Grok-tukh "	NA	"MGV"	NA	" bismuth"	""
"1053"	"g"	"Grut "	NA	"MGV"	NA	" agate"	""
"1054"	"g"	"Gu-vam "	" gu - ' v_m "	"anc."	NA	" duty"	""
"1055"	"g"	"Gubi "	" ' gu - bi "	"anc."	NA	" stigma"	""
"1056"	"g"	"Guf "	NA	"MGV"	NA	" socket"	""
"1057"	"g"	"Guhf-, Guhfik "	NA	"MGV"	"adj."	" boring, dull"	""
"1058"	"g"	"Guhl'es "	NA	"MGV"	NA	" confidence"	""
"1059"	"g"	"Guhras-zhit "	NA	"MGV"	"n."	" invective"	"grammar"
"1060"	"g"	"Guhsh "	" g, g"	"MGV"	NA	" debris, garbage, refuse, trash, offal, rubbish"	""
"1061"	"g"	"Guramau "	" gu - r_ - ' ma_ "	"MGV"	NA	" appal"	"l"
"1062"	"g"	"Guramayik "	NA	"MGV"	"adj."	" appalled"	""
"1063"	"g"	"Guv "	NA	"MGV"	NA	" gender, sex"	""
"1064"	"h"	"Ha "	NA	"MGV"	NA	" yes, affirmative"	""
"1065"	"h"	"Ha'au "	NA	"MGV"	"v."	" dwell, live"	""
"1066"	"h"	"Ha'fek "	" ' h_ - fek "	"MGV"	NA	" candle"	""
"1067"	"h"	"Ha'gel "	" h_ - ' gel "	"MGV"	NA	" light"	"illumination"
"1068"	"h"	"Ha'gel-neyek "	NA	"MGV"	NA	" dimmer "	"switch"
"1069"	"h"	"Ha'gel-tanaf "	NA	"MGV"	NA	" photography"	""
"1070"	"h"	"Ha'gel-tanafsu "	NA	"MGV"	NA	" photographer"	""
"1071"	"h"	"Ha'gelet "	NA	"MGV"	NA	" "	"electric"
"1072"	"h"	"Ha'kiv "	" h_ - ' kiv "	"MGV"	NA	" life"	""
"1073"	"h"	"Ha'tanau "	NA	"MGV"	NA	" give off light"	""
"1074"	"h"	"Ha'u "	" h_ - ' u "	"MGV"	NA	" the Living"	""
"1075"	"h"	"Ha-donka'es "	NA	"MGV"	NA	" biodiversity"	""
"1076"	"h"	"Ha-ek'shal "	NA	"MGV"	NA	" ecosphere"	""
"1077"	"h"	"Ha-ek'torektra "	NA	"MGV"	NA	" ecosystem"	""
"1078"	"h"	"Ha-ha'tanaya "	NA	"MGV"	NA	" bioluminescence"	""
"1079"	"h"	"Ha-kel "	" h_ - ' kel "	"MGV"	NA	" home"	""
"1080"	"h"	"Ha-meil-tal "	NA	"MGV"	NA	" biochemistry"	"study"
"1081"	"h"	"Ha-tal "	" ' h_ - t_l "	"MGV"	NA	" biology"	"study"
"1082"	"h"	"Ha-tehvar "	NA	"MGV"	NA	" biological hazard, biohazard"	""
"1083"	"h"	"Ha-tor "	" h_ - ' tor "	"MGV"	"v."	" live"	""
"1084"	"h"	"Ha-vel-ahkhan "	NA	"MGV"	NA	" biological warfare"	""
"1085"	"h"	"Ha-wak-vel "	NA	"MGV"	NA	" biological clock"	""
"1086"	"h"	"Haf "	NA	"MGV"	NA	" gap"	""
"1087"	"h"	"Hafa'el "	" h_ - ' f_ - el "	"anc."	NA	" hostel"	"ry"
"1088"	"h"	"Hafan-tor "	NA	"MGV"	"v."	" stay"	"spending time/being a guest"
"1089"	"h"	"Hafau "	NA	"MGV"	NA	" remain "	"behind"
"1090"	"h"	"Hag-, Hagik "	NA	"MGV"	NA	" easy, facile"	""
"1091"	"h"	"Hahf "	NA	"MGV"	NA	" adversary, foe"	""
"1092"	"h"	"Haifan "	" ha_ - ' f_n "	"MGV"	NA	" banner, flag, pennant"	""
"1093"	"h"	"Haishau "	" ha_ - 'a_ "	"MGV"	"v."	" demand"	""
"1094"	"h"	"Hakau "	NA	"MGV"	"v."	" heal"	""
"1095"	"h"	"Hakausu "	NA	"MGV"	NA	" healer"	""
"1096"	"h"	"Hakur-, Hakurik "	NA	"MGV"	NA	" vivid"	""
"1097"	"h"	"Hal"	NA	"anc."	NA	" car, cart"	""
"1098"	"h"	"Hal-masu "	NA	"MGV"	NA	" gasoline, petrol, liquid fuel"	""
"1099"	"h"	"Hal-sov-mishek "	NA	"MGV"	NA	" carburetor"	""
"1100"	"h"	"Hal-tor "	NA	"MGV"	NA	" go, proceed"	""
"1101"	"h"	"Halan "	" ' h_l - _n "	"MGV"	NA	" trip, trek, voyage"	""
"1102"	"h"	"Halek "	" ' h_l - ek "	"MGV"	NA	" wheel"	""
"1103"	"h"	"Hali "	" ' h_l - i "	"MGV"	NA	" conveyance, craft, ship, vehicle"	""
"1104"	"h"	"Halitra "	NA	"MGV"	NA	" fleet"	""
"1105"	"h"	"Halitra-lan "	NA	"MGV"	NA	" admiral"	""
"1106"	"h"	"Halovau "	NA	"MGV"	"v."	" journey, travel"	""
"1107"	"h"	"Halovaya "	NA	"MGV"	"n."	" journey, travel"	""
"1108"	"h"	"<a1>Halovaya t'Falor<a1> "	NA	"MGV"	NA	"Falor's Journey"	"a tale of enlightenment with 348 verses"
"1109"	"h"	"Han "	NA	"MGV"	NA	" nose"	""
"1110"	"h"	"Haniwah "	" h_n - ' i - w_' , - w_ , - w_ "	"NGS"	NA	" Vulcan seed-plant"	""
"1111"	"h"	"Hanuvau "	NA	"MGV"	"v."	" flicker"	""
"1112"	"h"	"Haran "	" ' h_ - r_n "	"anc."	NA	" legendary \"fire beast\""	""
"1113"	"h"	"Has "	NA	"MGV"	NA	" disease"	""
"1114"	"h"	"Has-bosh "	NA	"MGV"	NA	" sick"	""
"1115"	"h"	"Has-dvinsu "	NA	"MGV"	"n."	" orderly"	"med."
"1116"	"h"	"Has-golsu, Has-gol'nevsu "	NA	"MGV"	"n."	" nurse"	"med."
"1117"	"h"	"Has-mar "	NA	"MGV"	NA	" sickness"	""
"1118"	"h"	"Has-mashek "	NA	"MGV"	NA	" amp"	"o"
"1119"	"h"	"Has-tal "	NA	"MGV"	NA	" medicine"	"the medical field"
"1120"	"h"	"Hasam "	" h_s - ' _m "	"MGV"	NA	" toxin"	""
"1121"	"h"	"Hasau "	NA	"MGV"	NA	" sicken, become ill"	""
"1122"	"h"	"Haseret "	NA	"MGV"	NA	" medicine"	"medication"
"1123"	"h"	"Hash-hassu "	NA	"MGV"	NA	" flight surgeon"	""
"1124"	"h"	"Hash-hutau "	NA	"MGV"	NA	" buffet"	"aero."
"1125"	"h"	"Hash-hutaya "	NA	"MGV"	NA	" buffeting"	"aero."
"1126"	"h"	"Hash-mishek "	NA	"MGV"	NA	" flight engineer"	""
"1127"	"h"	"Hash-tal "	NA	"MGV"	NA	" aeronautics"	""
"1128"	"h"	"Hash-tash "	NA	"MGV"	NA	" flight control"	""
"1129"	"h"	"Hash-tor "	NA	"MGV"	"v."	" fly"	""
"1130"	"h"	"Hash-vulu "	NA	"MGV"	NA	" angle of attack"	"aero."
"1131"	"h"	"Hash-yut "	NA	"MGV"	NA	" flight path"	""
"1132"	"h"	"Hashan-mathra "	NA	"MGV"	NA	" flying saucer"	""
"1133"	"h"	"Hashsu "	NA	"MGV"	NA	" aviator, flier, pilot"	""
"1134"	"h"	"Hashsu-shal "	NA	"MGV"	NA	" cockpit"	"aero."
"1135"	"h"	"Hassu "	" ' h_s - su , ' h_s- u "	"MGV"	NA	" healer, doctor, physician"	""
"1136"	"h"	"Hasu "	" ' h_ - su "	"MGV"	NA	" a living person/being"	""
"1137"	"h"	"Hasuk "	" h_s - ' uk "	"MGV"	"adj."	" medical"	""
"1138"	"h"	"Hau "	NA	"MGV"	"v."	" add"	""
"1139"	"h"	"Hau-vel "	NA	"MGV"	NA	" addend"	""
"1140"	"h"	"Haul-kur "	NA	"MGV"	NA	" silver"	"color"
"1141"	"h"	"Haul-tor "	NA	"MGV"	NA	" reflect"	""
"1142"	"h"	"Haul-tukh "	NA	"MGV"	NA	" silver"	"metal"
"1143"	"h"	"Haulan "	" ' ha_l - _n "	"MGV"	NA	" reflection"	""
"1144"	"h"	"Haulat "	" ha_l - ' _t "	"MGV"	NA	" mirror"	""
"1145"	"h"	"Haulek "	" ' ha_l - ek "	"MGV"	NA	" reflector"	""
"1146"	"h"	"Haurok "	NA	"MGV"	NA	" a Vulcan bird"	""
"1147"	"h"	"Haya "	NA	"MGV"	NA	" addition"	""
"1148"	"h"	"Hayaik "	NA	"MGV"	NA	" additional"	""
"1149"	"h"	"Hayal|-| "	" h_ - ' j_l "	"MGV"	NA	" calm, placid"	""
"1150"	"h"	"Hayalit "	NA	"MGV"	NA	" a small Vulcan burrowing animal"	""
"1151"	"h"	"Hayatau "	NA	"MGV"	"v."	" augment"	""
"1152"	"h"	"Hayataya "	" h_ - j_ - ' t_ - j_ "	"MGV"	NA	" augmentation"	""
"1153"	"h"	"Heh "	" he, h_ "	"MGV"	NA	" and"	"after a consonant sound"
"1154"	"h"	"Herbosh "	" her - ' bo"	"MGV"	NA	" empty"	""
"1155"	"h"	"Herik "	NA	"MGV"	NA	" suitable"	""
"1156"	"h"	"Herish-tor "	NA	"MGV"	"v."	" blend"	""
"1157"	"h"	"Herishek "	NA	"MGV"	NA	" blender"	"device"
"1158"	"h"	"Hertak "	" ' her - t_k "	"MGV"	"n."	" baffle"	""
"1159"	"h"	"Hertak-math "	NA	"MGV"	NA	" baffle plate"	""
"1160"	"h"	"Hesha "	" he - '_ "	"MGV"	"v."	" fold"	""
"1161"	"h"	"Hi "	NA	"MGV"	NA	" but"	""
"1162"	"h"	"Hif-bi "	NA	"MGV"	NA	" to me"	"superior"
"1163"	"h"	"Hiktra "	NA	"MGV"	NA	" font"	"type"
"1164"	"h"	"Hil-tor "	NA	"MGV"	"v."	" dig"	""
"1165"	"h"	"Hilek "	" ' hil - ek "	"MGV"	NA	" digger, shovel, spade"	""
"1166"	"h"	"Hinek "	" hi - ' nek "	"MGV"	NA	" bone"	""
"1167"	"h"	"Hinek-masu "	NA	"MGV"	NA	" "	"bone"
"1168"	"h"	"Hinek-tukh "	NA	"MGV"	NA	" calcium"	""
"1169"	"h"	"Hinekau "	" hi - nek - ' a_ "	"MGV"	NA	" calcify, ossify"	""
"1170"	"h"	"Hirat"	NA	"anc."	NA	" grape-like Vulcan plant"	""
"1171"	"h"	"His-tor "	NA	"MGV"	"v."	" strain"	""
"1172"	"h"	"Hish-pla-kur "	NA	"MGV"	NA	" cyan"	"color"
"1173"	"h"	"Hish-tor "	NA	"MGV"	NA	" print, press "	"down on"
"1174"	"h"	"Hishek "	" ' hi- ek "	"MGV"	"n."	" press"	""
"1175"	"h"	"Hishel "	" hi- ' el "	"MGV"	"n."	" stress"	""
"1176"	"h"	"Hishsu "	" ' hi- su "	"MGV"	NA	" printer"	"person"
"1177"	"h"	"Hitra "	NA	"MGV"	NA	" media"	""
"1178"	"h"	"Hiya'es "	" hi - ' j_ - es "	"MGV"	NA	" expertise"	""
"1179"	"h"	"Hiyasu "	NA	"MGV"	"n."	" expert"	""
"1180"	"h"	"Hiyet "	" hi - ' jet "	"MGV"	NA	" enough"	""
"1181"	"h"	"Hizhuk "	NA	"MGV"	"adj."	" quiet"	""
"1182"	"h"	"Ho-rah"	NA	"anc."	NA	" ritual"	""
"1183"	"h"	"Hohl-tor "	NA	"MGV"	"v."	" shave"	""
"1184"	"h"	"Hoknau "	" hok - ' na_ "	"MGV"	NA	" accumulate, gather "	"up"
"1185"	"h"	"Hoknaya "	NA	"MGV"	NA	" accumulation, gathering "	"up"
"1186"	"h"	"Hokni'es "	" ' hok - ni - es "	"MGV"	NA	" consciousness"	""
"1187"	"h"	"Holsh "	NA	"MGV"	NA	" myth"	""
"1188"	"h"	"Holsh-tal "	NA	"MGV"	NA	" mythology"	""
"1189"	"h"	"Holshan-, Holshanik "	NA	"MGV"	NA	" mythical"	""
"1190"	"h"	"Hosh-tukh "	NA	"MGV"	NA	" fluorine"	""
"1191"	"h"	"Hotor-, Hotorik "	NA	"MGV"	"adj."	" formal"	""
"1192"	"h"	"Hu'a "	" ' hu - _ "	"anc."	NA	" mythological demon seductress; succubus"	""
"1193"	"h"	"Hudokal-, Hudokalik "	NA	"MGV"	"adj."	" delighted"	""
"1194"	"h"	"Hudokau "	NA	"MGV"	"v."	" delight"	""
"1195"	"h"	"Hudokaya "	NA	"MGV"	"n."	" delight"	""
"1196"	"h"	"Huhk "	" hk , hk "	"MGV"	"n."	" hiccup"	""
"1197"	"h"	"Huhsh "	" h, h"	"MGV"	"n."	" cough"	""
"1198"	"h"	"Huht-, Huhtik "	NA	"MGV"	"adj."	" solid"	""
"1199"	"h"	"Hushau "	NA	"MGV"	"v."	" gasp"	""
"1200"	"h"	"Hutau "	NA	"MGV"	"v."	" shake, quake"	""
"1201"	"h"	"Huun "	NA	"MGV"	NA	" oops"	""
"1202"	"i"	"I, I' "	NA	"MGV"	NA	" now"	""
"1203"	"i"	"If "	NA	"MGV"	NA	" which"	""
"1204"	"i"	"Ifis "	" i - ' fis "	"MGV"	NA	" transport"	"ation"
"1205"	"i"	"Ifis-tor "	" i - fis - ' tor "	"MGV"	"v."	" transport"	""
"1206"	"i"	"Ifis-ur "	" i - ' fis - ur "	"MGV"	NA	" travel tube, \"subway\""	""
"1207"	"i"	"Ifisek "	" i - ' fis - ek "	"MGV"	NA	" transporter"	""
"1208"	"i"	"Igen "	" i - ' gen "	"MGV"	NA	" sky"	""
"1209"	"i"	"Igen-tukh "	NA	"MGV"	NA	" atmosphere"	""
"1210"	"i"	"Igen-va "	NA	"MGV"	NA	" weather"	""
"1211"	"i"	"Igen-wesh "	NA	"MGV"	NA	" lightning"	"obs."
"1212"	"i"	"Ihat-, Ihatik "	NA	"MGV"	NA	" extant"	""
"1213"	"i"	"Ihn'es "	NA	"MGV"	NA	" density"	""
"1214"	"i"	"Ihn-, Ihnik "	NA	"MGV"	NA	" dense"	""
"1215"	"i"	"Ihk-banut"	NA	"anc."	NA	" \"the subject of discussion\", \"the one who is being spoken of\""	""
"1216"	"i"	"Ihsek "	" _s - ' ek "	"MGV"	"n."	" fog"	""
"1217"	"i"	"Ihsek-pasht "	NA	"MGV"	NA	" fogbound"	""
"1218"	"i"	"Ihsek-vikayek "	NA	"MGV"	NA	" foghorn"	""
"1219"	"i"	"Ihsekweik "	" _s - ' ek - we_k "	"MGV"	NA	" foggy"	""
"1220"	"i"	"Ihv-mofek "	NA	"MGV"	NA	" pry bar"	""
"1221"	"i"	"Ihv-tor "	NA	"MGV"	"v."	" pry"	""
"1222"	"i"	"Ihv-vel "	NA	"MGV"	NA	" crowbar"	""
"1223"	"i"	"Ikap-, Ikapik "	NA	"MGV"	"adj."	" closed"	""
"1224"	"i"	"Ikap-raf-kuvik "	NA	"MGV"	"adj."	" closed circuit"	""
"1225"	"i"	"Ikap-shal-pthak "	NA	"MGV"	NA	" claustrophobia"	""
"1226"	"i"	"Ikap-tor "	NA	"MGV"	"v."	" close, shut"	""
"1227"	"i"	"Ikapirak "	NA	"MGV"	NA	" meditation: \"closed posture\""	""
"1228"	"i"	"Iksevau "	" ik - se - ' va_ "	"MGV"	NA	" annoy"	""
"1229"	"i"	"Iksevaunik "	NA	"MGV"	"adj."	" annoyed"	""
"1230"	"i"	"Ikun "	" i - ' kun "	"MGV"	NA	" cone"	"shape"
"1231"	"i"	"Il "	NA	"MGV"	NA	" or, nor"	""
"1232"	"i"	"Il-eh "	" il - ' e , - ' _ "	"MGV"	NA	" and/or"	""
"1233"	"i"	"Im-tukh "	NA	"MGV"	NA	" argon"	""
"1234"	"i"	"In-du-ka"	NA	"NGS"	NA	" small, red-leafed tree found near water"	""
"1235"	"i"	"Inam-, Inamik "	NA	"MGV"	"adj."	" existent"	""
"1236"	"i"	"Ip-sut"	NA	"anc."	NA	" conceal, hide"	""
"1237"	"i"	"Ir "	NA	"MGV"	NA	" distance"	""
"1238"	"i"	"Ir-zehl-kes "	NA	"MGV"	NA	" azimuth"	""
"1239"	"i"	"Irak|-| "	" i - ' r_k "	"MGV"	NA	" far, distant"	""
"1240"	"i"	"Is "	NA	"MGV"	"n."	" use"	""
"1241"	"i"	"Is-bosh "	NA	"MGV"	NA	" useful"	""
"1242"	"i"	"Is-fam-, Is-famik "	" ' is - f_m "	"MGV"	NA	" useless"	""
"1243"	"i"	"Is-lof "	" is - ' lof "	"MGV"	"n."	" function"	""
"1244"	"i"	"Is-tor "	NA	"MGV"	"v."	" use"	""
"1245"	"i"	"Isachya "	" i - ' s_t- j_ "	"MGV"	NA	" hair"	""
"1246"	"i"	"Isan "	" ' is - _n "	"MGV"	NA	" usage"	""
"1247"	"i"	"Ish-veh "	NA	"MGV"	NA	" that one"	""
"1248"	"i"	"Isha "	" ' i -_ "	"MGV"	NA	" also, too"	""
"1249"	"i"	"Iskan "	" is - ' k_n "	"MGV"	NA	" economy"	""
"1250"	"i"	"Iskan-tal "	NA	"MGV"	NA	" economics"	"study"
"1251"	"i"	"Iskan-talsu "	NA	"MGV"	NA	" economist"	""
"1252"	"i"	"Istau "	NA	"MGV"	"v."	" wish"	""
"1253"	"i"	"Istaya "	NA	"MGV"	"n."	" wish"	""
"1254"	"i"	"Isu-keh "	NA	"MGV"	NA	" a type of Vulcan bush"	""
"1255"	"i"	"It "	NA	"MGV"	NA	" tact"	""
"1256"	"i"	"It-bosh "	" ' it - bo"	"MGV"	"adj."	" tactful"	""
"1257"	"i"	"It-fam-, It-famik "	NA	"MGV"	"adj."	" tactless"	""
"1258"	"i"	"Itaren "	" i - ' t_ - ren "	"MGV"	"v."	" thank"	""
"1259"	"i"	"Iwi|-| "	" i - ' wi "	"MGV"	NA	" immediate"	"ly"
"1260"	"i"	"Iyi-, Iyik "	NA	"MGV"	NA	" contemporary, modern"	""
"1261"	"i"	"Iyula "	" i - ' ju - l_ "	"MGV"	NA	" culture"	""
"1262"	"i"	"Izau "	NA	"MGV"	"v."	" shift"	""
"1263"	"i"	"Izayek "	" i - ' z_ - jek "	"MGV"	NA	" shifter, shift lever"	""
"1264"	"i"	"Izh "	NA	"MGV"	"n."	" snow"	""
"1265"	"i"	"Izh-ash'el "	NA	"MGV"	NA	" showshoe"	""
"1266"	"i"	"Izh-sahriv "	NA	"MGV"	NA	" snowstorm, blizzard"	""
"1267"	"i"	"Izh-vok "	NA	"MGV"	NA	" snow level"	""
"1268"	"i"	"Izh-wef "	NA	"MGV"	NA	" snowflake"	""
"1269"	"i"	"Izh-zahzek "	NA	"MGV"	NA	" snow plow"	""
"1270"	"i"	"Izhau "	NA	"MGV"	"v."	" snow"	""
"1271"	"i"	"Izhyan-, Izhyanik "	NA	"MGV"	"adj."	" snowy"	""
"1272"	"k"	"K'ashiv "	"- '"	"MGV"	NA	" often"	""
"1273"	"k"	"K'avon"	NA	"TGV"	NA	" hungry"	""
"1274"	"k"	"K'ha "	"- '"	"MGV"	NA	" alive"	""
"1275"	"k"	"K'ha-solektau-pthak "	NA	"MGV"	NA	" taphephobia"	""
"1276"	"k"	"K'hu'kru "	"- '-"	"MGV"	NA	" babble, hubbub"	""
"1277"	"k"	"K'kan "	"- '"	"MGV"	NA	" pregnant"	""
"1278"	"k"	"K'kari "	"- '-"	"NGS"	NA	" \"k'karee\", a mottled, blue-grey poisonous snake"	""
"1279"	"k"	"K'kla-min "	NA	"MGV"	NA	" in fact, in all actuality"	""
"1280"	"k"	"K'kvai "	"- '"	"MGV"	NA	" through"	"MGV obs.;TGV rare"
"1281"	"k"	"K'kvai'ei "	""	"MGV"	NA	" '\ "	""
"1282"	"k"	"K'kvayei "	""	"MGV"	NA	" '\ "	""
"1283"	"k"	"K'mag"	NA	"TGV"	NA	" thirsty"	""
"1284"	"k"	"K'oh-nar"	NA	"anc."	NA	" fear of being completely exposed in a vulnerable situation"	""
"1285"	"k"	"K'puu "	"- '"	"MGV"	NA	" at least"	""
"1286"	"k"	"K'shatri "	"- '-"	"anc."	NA	" foreign"	""
"1287"	"k"	"K'torr "	"- 'R "	"anc."	NA	" completely lacking something"	""
"1288"	"k"	"K'wuhli "	"- '-, - '- "	"MGV"	NA	" apart, separate "	"from"
"1289"	"k"	"K'zung"	NA	"TGV"	NA	" tired, fatigued"	""
"1290"	"k"	"Ka "	NA	"MGV"	NA	" same, equally"	"adv."
"1291"	"k"	"Ka'a "	"- '"	"MGV"	NA	" as, like, similar to, akin to"	""
"1292"	"k"	"Ka'athaira "	NA	"MGV"	NA	" \"ka'athyra\", a Vulcan musical instrument"	""
"1293"	"k"	"Ka'es "	NA	"MGV"	NA	" equality"	""
"1294"	"k"	"Ka'yed "	"- '"	"anc."	NA	" axiom"	""
"1295"	"k"	"Ka-, Kaik "	NA	"MGV"	"adj."	" same, equal"	""
"1296"	"k"	"Ka-gad "	NA	"MGV"	NA	" equinox"	""
"1297"	"k"	"Ka-ir-, Ka-irik "	NA	"MGV"	"adj."	" equidistant"	""
"1298"	"k"	"Ka-ni-fur"	NA	"NGS"	NA	" \"ka-nifur\", first ritual of maturity"	""
"1299"	"k"	"Ka-reh-vla "	NA	"MGV"	NA	" equilateral triangle"	""
"1300"	"k"	"Ka-shal-salehm "	NA	"MGV"	NA	" equal-area projection"	""
"1301"	"k"	"Ka-ta-pak"	NA	"NGS"	NA	" \"The Inner Chorus\", understanding of one's emotions as manifestations of the gods"	""
"1302"	"k"	"Ka-tala'es "	NA	"MGV"	NA	" equivalence"	""
"1303"	"k"	"Ka-tala-, Ka-talupik "	NA	"MGV"	"adj."	" equivalent"	""
"1304"	"k"	"Kad "	NA	"MGV"	"n."	" bump"	""
"1305"	"k"	"Kafeh "	NA	"MGV"	NA	" slave, bonded servant"	""
"1306"	"k"	"Kafunik "	NA	"MGV"	NA	" random"	""
"1307"	"k"	"Kahai "	NA	"MGV"	"v."	" flash"	""
"1308"	"k"	"Kahai-sfek "	NA	"MGV"	NA	" flash point"	""
"1309"	"k"	"Kahat "	"- '"	"MGV"	"n."	" flash"	""
"1310"	"k"	"Kahatek "	NA	"MGV"	NA	" flasher"	"device"
"1311"	"k"	"Kahkrus "	" '' -, '- "	"MGV"	NA	" district"	""
"1312"	"k"	"Kahkwa "	"' - ',- "	"mostly obs."	NA	" alike, similar"	""
"1313"	"k"	"Kahla "	" '' -, '- "	"MGV"	NA	" inertia"	""
"1314"	"k"	"Kahm "	NA	"MGV"	NA	" flesh, meat"	""
"1315"	"k"	"Kahm-yokulsu, Kahm-yokulfa "	NA	"MGV"	NA	" carnivore, meat-eater"	""
"1316"	"k"	"Kahn-tor "	NA	"MGV"	"v."	" boil"	""
"1317"	"k"	"Kahnek "	NA	"MGV"	NA	" boiler"	""
"1318"	"k"	"Kahr "	NA	"MGV"	NA	" city, town"	""
"1319"	"k"	"Kahr-lan "	NA	"MGV"	NA	" general"	"officer"
"1320"	"k"	"Kahs-hir"	NA	"anc."	NA	" an ornamental dark stone, usually black"	""
"1321"	"k"	"Kahs-wan"	NA	"anc."	NA	" Vulcan coming-of-age survival test"	""
"1322"	"k"	"Kaht "	NA	"MGV"	NA	" garnet; cat"	""
"1323"	"k"	"Kai "	NA	"MGV"	NA	" step, stage "	"in a process"
"1324"	"k"	"Kai'tan "	"- '"	"anc."	NA	" pain and muscle control"	""
"1325"	"k"	"Kai-ros "	" '-"	"MGV"	NA	" children's game similar to hopscotch"	""
"1326"	"k"	"Kaiden "	" '-"	"MGV"	NA	" stairs, staircase, steps"	""
"1327"	"k"	"Kaiidth "	"- '"	"NGS"	NA	" \"What is, is\""	""
"1328"	"k"	"Kaisu "	" '-"	"MGV"	NA	" sibling"	""
"1329"	"k"	"Kak "	NA	"MGV"	"n."	" jar"	""
"1330"	"k"	"Kakhartau "	NA	"MGV"	"v."	" guide"	""
"1331"	"k"	"Kal-ap-ton"	NA	"NGS"	NA	" ancient personification of grief"	""
"1332"	"k"	"Kal-Rekk"	NA	"NGS"	NA	" Vulcan holiday of atonement and silence"	""
"1333"	"k"	"Kal-toh "	"- ', - '"	"NGS"	NA	" a Vulcan logic puzzle"	""
"1334"	"k"	"Kal-tor "	"- '"	"MGV"	NA	" allow, let"	""
"1335"	"k"	"Kala "	NA	"MGV"	NA	" thorny plant often used for hedges"	""
"1336"	"k"	"Kali-tor "	NA	"MGV"	"v."	" challenge"	""
"1337"	"k"	"Kaluk "	NA	"MGV"	NA	" ear"	""
"1338"	"k"	"Kaluk-ek'zerut "	NA	"MGV"	NA	" earring"	""
"1339"	"k"	"Kaluk-kusut "	NA	"MGV"	NA	" earache"	""
"1340"	"k"	"Kaluk-ralashek "	NA	"MGV"	NA	" earphone"	""
"1341"	"k"	"Kaluk-vel "	NA	"MGV"	NA	" earpiece"	""
"1342"	"k"	"Kam-nat "	"- '"	"anc."	NA	" treason"	"obs."
"1343"	"k"	"Kambus "	" '-"	"MGV"	"n."	" shingle"	""
"1344"	"k"	"Kamu "	" '-"	"MGV"	"n."	" roof"	""
"1345"	"k"	"Kan "	NA	"MGV"	NA	" child"	""
"1346"	"k"	"Kan-palutunausu "	NA	"MGV"	NA	" nanny"	""
"1347"	"k"	"Kan-sorn"	NA	"NGS"	NA	" a very deep, self-induced, defensive trance"	""
"1348"	"k"	"Kanok "	"- '"	"MGV"	NA	" every"	""
"1349"	"k"	"Kanok-veh "	NA	"MGV"	NA	" everyone, everybody"	""
"1350"	"k"	"Kanok-vel "	NA	"MGV"	NA	" everything"	""
"1351"	"k"	"Kanok-wilat "	NA	"MGV"	NA	" everyplace, everywhere"	""
"1352"	"k"	"Kap "	NA	"MGV"	NA	" bread"	""
"1353"	"k"	"Kapiratau "	NA	"MGV"	NA	" discard, throw away, cast away"	""
"1354"	"k"	"Kapol "	"- '"	"MGV"	"n."	" filter"	""
"1355"	"k"	"Kapol-dun "	NA	"MGV"	NA	" filter paper"	""
"1356"	"k"	"Kapol-lantra "	NA	"MGV"	NA	" filter bed"	""
"1357"	"k"	"Kapol-nafek "	NA	"MGV"	NA	" kidney"	""
"1358"	"k"	"Kapol-tor "	NA	"MGV"	"v."	" filter"	""
"1359"	"k"	"Kapol-toran "	NA	"MGV"	NA	" filtration"	""
"1360"	"k"	"Kapol-yokulek "	NA	"MGV"	NA	" filter feeder"	""
"1361"	"k"	"Kapralau "	NA	"MGV"	NA	" fluctuate"	""
"1362"	"k"	"Kapralaya "	NA	"MGV"	NA	" fluctuation"	""
"1363"	"k"	"Kar "	NA	"MGV"	"n."	" arm"	""
"1364"	"k"	"Kar-an-zhi"	NA	"NGS"	NA	" \"ka-ranji\", a tall cactus-like Vulcan plant"	""
"1365"	"k"	"Kar-nef "	NA	"MGV"	NA	" elbow"	""
"1366"	"k"	"Kar-nik "	NA	"MGV"	NA	" wrist"	""
"1367"	"k"	"Karf "	NA	"MGV"	"n."	" fragment"	""
"1368"	"k"	"Karik "	NA	"MGV"	"adj."	" strong"	""
